jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Mosina,,1391.0,1432.0,1492.0,1651.0,1872.72,2271.08,2332.89,2256.88,2397.91,2740.96,2641.19,2711.59,2842.08,2888.95,3704.09,4017.61,4397.25
Murowana Goślina,,1416.0,1424.0,1554.0,1753.0,2033.15,2164.01,2384.68,2307.7,2528.53,2643.37,2569.32,2764.14,2967.39,2974.0,3633.01,3921.81,4165.49
Pobiedziska,,1291.0,1447.0,1713.0,1801.0,2049.48,2305.19,2431.93,2410.95,2750.02,2871.57,2899.43,2847.35,2927.57,3196.82,4044.52,4556.22,5455.54
Rokietnica,,1650.0,2056.0,1630.0,1976.0,2004.96,2082.67,2266.71,2225.95,2558.3,2508.59,2576.9,2901.06,2755.3,2914.48,3735.22,4066.52,4668.6
Stęszew,,1387.0,1415.0,1532.0,1809.0,1879.2,2115.78,2498.48,2237.11,2602.73,2439.02,2757.85,2750.2,2939.19,3118.55,4084.08,4262.8,4427.54
Suchy Las,,1958.0,2108.0,3772.0,4226.0,5253.45,5853.09,6312.9,5868.82,6284.07,5987.63,5877.8,5901.97,6581.2,7039.44,7308.32,7979.74,8421.88
Swarzędz,,1426.0,1424.0,1686.0,1921.0,2088.39,2396.22,2452.95,2543.27,2663.89,2978.92,2966.63,3403.94,3273.17,3583.6,4277.71,4743.53,5072.72
Tarnowo Podgórne,,2885.0,3011.0,3775.0,4231.0,4261.74,4926.87,5347.16,5260.58,5965.5,5434.36,5968.48,5741.71,5902.98,6933.51,7352.45,8135.2,8373.68
Powiat szamotulski,,1439.0,1460.0,1645.0,1789.0,2033.82,2186.78,2355.38,2334.09,2471.19,2664.0,2771.19,2946.24,3233.21,3335.25,3913.76,4430.26,4622.4
Obrzycko,,1523.0,1645.0,1803.0,2058.0,2332.33,2658.91,2792.64,2710.37,2675.5,3299.8,3172.27,3933.99,4158.69,3664.48,4290.38,4820.91,5229.28
Duszniki,,1279.0,1622.0,1743.0,1910.0,1949.87,2207.51,2470.18,2379.12,2547.76,2540.87,2986.6,3397.34,3062.2,3070.4,3834.91,4198.93,4397.46
Kaźmierz,,1513.0,1558.0,1812.0,1764.0,2913.92,3070.5,2339.41,2391.18,2565.92,2602.39,3394.12,3547.87,2968.67,2958.13,3955.59,4372.22,4482.39
Obrzycko,,1324.0,1421.0,1607.0,1832.0,1828.87,2063.83,2234.6,2197.19,2430.11,2771.16,2577.63,2639.37,2999.05,3056.11,3696.55,4135.82,4722.09
Ostroróg,,1264.0,1228.0,1350.0,1562.0,1840.51,2016.96,2379.78,2475.53,2512.76,2529.83,2687.08,2809.16,2975.01,3610.85,3689.12,3909.34,4455.45
Pniewy,,1702.0,1809.0,2053.0,2476.0,2811.01,2751.08,3356.76,3103.62,3231.96,3747.47,3304.12,3632.64,3691.6,4196.19,4753.9,5215.82,5466.84
Szamotuły,,1403.0,1350.0,1500.0,1596.0,1732.31,1911.74,2057.5,2110.33,2309.37,2380.05,2578.0,2650.0,3328.63,3109.28,3685.53,4195.22,4390.63
Wronki,,1429.0,1345.0,1566.0,1618.0,1757.63,1907.82,2096.47,2087.91,2126.17,2404.89,2383.75,2487.24,2979.05,3353.8,3798.07,4572.0,4544.74
Powiat średzki,,1371.0,1426.0,1556.0,1758.0,1915.78,2107.52,2351.16,2510.79,2545.18,2692.17,3006.41,3120.57,3224.89,3525.55,4287.91,4492.16,4672.4
Dominowo,,1292.0,1367.0,1594.0,1593.0,1909.71,2038.12,2503.68,2486.13,2387.95,2767.95,3881.83,3284.04,3437.91,3581.55,4080.78,4532.57,5283.33
Krzykosy,,1273.0,1397.0,1508.0,1821.0,1904.88,2083.2,2276.65,2343.6,2636.03,2566.96,2885.67,3012.38,2754.91,3042.79,3802.84,4221.4,4296.75
Nowe Miasto nad Wartą,,1473.0,1577.0,1633.0,1877.0,2119.12,2288.24,2622.62,2706.66,2787.15,2889.71,3232.16,2999.55,3204.45,3425.57,4112.22,4491.5,4537.27
Środa Wielkopolska,,1357.0,1321.0,1496.0,1683.0,1830.19,2044.06,2235.72,2409.67,2457.02,2656.99,2920.05,3212.75,3368.75,3714.12,4558.88,4599.25,4810.09
Zaniemyśl,,1430.0,1775.0,1764.0,1957.0,2048.7,2210.08,2521.73,2903.66,2600.44,2677.29,2829.09,2891.81,2967.04,3248.52,3846.86,4250.37,4325.99
Powiat śremski,,1187.0,1269.0,1404.0,1595.0,1804.35,2020.41,2354.59,2386.51,2467.87,2597.95,2572.55,2710.71,2847.1,2984.41,3683.97,4097.58,4368.5
Brodnica,,1507.0,1563.0,1771.0,1935.0,2287.26,2405.81,2715.68,2715.09,2633.16,2761.54,3151.49,3102.06,3168.62,3516.91,4303.49,4484.27,4616.82
Dolsk,,1232.0,1317.0,1380.0,1710.0,1824.94,1980.73,2240.15,2341.03,2503.55,2943.64,3040.56,3588.44,2960.28,3327.94,3633.31,4062.65,4148.47
Książ Wielkopolski,,1273.0,1334.0,1477.0,1828.0,2081.77,2178.53,2392.7,2789.73,2634.44,2917.78,2885.33,2840.95,2977.51,3017.17,3841.07,4227.8,4457.34
Śrem,,1124.0,1214.0,1349.0,1489.0,1686.4,1948.27,2320.96,2270.35,2408.55,2462.43,2371.7,2512.45,2765.96,2865.71,3586.16,4030.46,4352.47
Powiat m.Poznań,,2271.0,2240.0,2565.0,2927.0,3080.69,3968.19,4248.43,4266.89,4387.27,4459.07,4985.44,4852.9,5178.83,6099.13,6006.55,6505.48,6879.58
Poznań,,2271.0,2240.0,2565.0,2927.0,3080.69,3968.19,4248.43,4266.89,4387.27,4459.07,4985.44,4852.9,5178.83,6099.13,6006.55,6505.48,6879.58
ZACHODNIOPOMORSKIE,,1648.0,1647.0,1875.0,2162.0,2392.51,2677.64,2902.71,2990.5,3068.66,3305.9,3624.64,3776.0,3955.87,4196.86,4681.34,4920.97,5251.31
Powiat białogardzki,,1287.0,1448.0,1686.0,1893.0,2083.99,2354.38,2625.73,2675.96,2904.96,3056.77,3346.31,3452.03,3671.88,3713.33,4265.08,4674.97,4788.27
Białogard,,1199.0,1266.0,1553.0,1674.0,1895.66,2136.09,2365.55,2298.05,2411.21,2420.26,2452.56,2709.86,3064.89,3219.46,3801.69,4048.96,4217.46
Białogard,,1282.0,1556.0,1652.0,1937.0,2207.18,2385.91,2659.74,2719.71,2632.95,2931.14,3361.76,3787.67,3361.28,3259.06,3861.93,4642.08,4756.09
Karlino,,1430.0,1764.0,1923.0,2405.0,2409.44,2928.45,3269.58,3364.22,4455.09,4720.86,5568.61,5053.29,5644.45,5455.67,5660.72,6320.12,6138.63
Tychowo,,1413.0,1551.0,1879.0,1938.0,2176.36,2329.34,2654.81,3038.38,,,,,,,,,
Tychowo,,,,,,,,,,2885.4,3221.29,3513.28,3559.33,3534.14,3644.6,4481.06,4720.91,5052.58
Powiat kołobrzeski,,1632.0,1867.0,2107.0,2423.0,2609.1,3149.94,3328.9,3172.26,3548.13,4091.59,3992.31,3997.52,4439.46,4364.74,4823.02,5631.58,5753.1
Kołobrzeg,,1578.0,1834.0,2081.0,2279.0,2669.12,3404.28,3507.98,3110.09,3459.15,4096.91,3762.18,3692.51,4535.29,4111.21,4657.99,5304.02,5886.98
Dygowo,,1365.0,1500.0,2066.0,1889.0,2098.01,2267.22,2531.38,2970.08,2715.63,3189.39,3623.04,3981.44,4049.29,4114.56,4153.86,5770.61,4590.49
Gościno,,1489.0,1868.0,2033.0,2077.0,2207.79,2509.29,2637.09,3222.25,3291.01,,,,,,,,
Gościno,,,,,,,,,,,3941.36,4927.39,4307.75,4723.54,4791.06,5279.61,6456.21,5865.56
Kołobrzeg,,1644.0,1703.0,2056.0,2483.0,2222.36,2610.76,3075.24,3057.02,3681.53,3797.56,3699.8,3970.55,3963.22,4373.04,4777.23,6047.73,5445.01
Rymań,,1537.0,1534.0,1631.0,1831.0,2177.43,2643.02,3351.26,3214.07,5033.41,4575.93,4863.61,4326.21,3855.99,4417.33,4760.3,4717.56,4746.15
Siemyśl,,1442.0,1451.0,2023.0,1916.0,2070.14,2301.29,2667.08,2493.49,2822.23,3287.31,3590.83,3595.51,3887.46,3396.73,3900.92,4379.58,4781.57
Ustronie Morskie,,3201.0,4039.0,3364.0,6578.0,5244.67,5093.84,4635.13,5140.98,5012.25,6685.5,6420.82,7600.89,5980.79,8242.71,8450.18,9449.02,8689.4
Powiat koszaliński,,1630.0,1664.0,1906.0,2196.0,2404.26,2721.36,2907.54,3052.08,3212.42,3333.45,3597.21,3815.02,3917.03,4270.95,4685.15,4809.24,5360.9
Będzino,,1420.0,1477.0,1642.0,1767.0,2261.11,2329.42,2666.98,3184.74,3243.87,3160.48,3715.62,3564.67,3816.79,4868.66,4652.86,4901.84,4926.01
Biesiekierz,,1783.0,1698.0,1777.0,1957.0,2321.11,2456.0,2704.29,2724.93,2866.27,3026.92,3380.81,3579.42,3741.78,3876.6,4599.42,5111.62,5848.72
Bobolice,,1387.0,1453.0,1689.0,1967.0,2242.13,2410.47,2922.75,3045.31,3405.6,3237.88,3681.79,3807.61,3812.08,3974.21,4304.43,4559.99,5206.76
Manowo,,1311.0,1327.0,1640.0,1875.0,2326.81,2267.38,2605.08,2712.66,3109.23,2944.76,3395.44,3276.27,3460.3,3509.49,3779.81,3921.15,5125.46
Mielno,,3529.0,3702.0,3929.0,5354.0,4768.75,6978.84,5462.77,5794.29,5353.35,6309.1,5976.55,7508.35,7681.17,8430.03,9365.72,,
Mielno,,,,,,,,,,,,,,,,,8952.79,9658.4
Polanów,,1793.0,1837.0,2123.0,2327.0,2574.33,2535.58,2804.63,2937.82,2975.02,3442.13,3271.14,3598.33,3853.1,3862.55,4552.13,4569.18,4939.84
Sianów,,1285.0,1317.0,1618.0,1760.0,1839.62,2187.89,2457.28,2513.7,2879.67,2919.83,3017.8,3147.79,3259.77,3664.51,4180.89,4035.15,4595.35
Świeszyno,,1472.0,1360.0,1644.0,1887.0,2015.13,2390.16,2795.58,2598.38,2639.41,2767.78,3545.46,3819.97,3420.88,3727.94,4011.53,4498.71,4876.28
Powiat sławieński,,1417.0,1579.0,1808.0,2066.0,2615.01,2795.75,3012.01,3034.71,3150.03,3938.34,3506.99,3806.21,4021.02,4446.42,4743.08,5203.06,5765.31
Darłowo,,1487.0,1577.0,1901.0,2123.0,3099.4,2862.11,3607.77,2860.26,3783.19,6432.83,3929.13,3553.65,3561.23,4338.16,4515.76,4739.42,4687.46
Sławno,,1190.0,1390.0,1521.0,1644.0,1875.48,2053.03,2334.13,2718.43,2248.05,2545.09,2521.89,2996.16,2988.22,2982.64,3779.11,3812.79,4329.34
Darłowo,,1697.0,1920.0,2159.0,2598.0,2690.28,3803.99,3557.0,3917.34,3592.03,3909.73,4441.42,4897.41,5989.33,6336.89,5902.83,7075.21,10151.02
Malechowo,,1238.0,1393.0,1533.0,1704.0,2057.85,2190.42,2491.5,2590.24,2774.35,2716.25,3304.83,3820.71,4089.67,4401.56,4582.9,5150.9,5090.62
Postomino,,1657.0,2067.0,2211.0,2927.0,4316.64,4188.56,3682.53,4040.86,3929.59,3928.53,4288.33,5002.58,5511.78,6197.41,6356.15,6717.03,7386.86
Sławno,,1352.0,1332.0,1679.0,1742.0,1948.8,2280.92,2450.95,2550.49,2729.12,2898.15,2964.5,3454.42,3245.1,3673.66,4280.92,5071.77,4748.98
Powiat m.Koszalin,,1952.0,1849.0,2044.0,2651.0,2594.05,3018.16,3113.01,3152.7,3284.15,3640.22,3899.04,4077.15,4423.21,4309.3,4881.9,5150.81,5674.29
Koszalin,,1952.0,1849.0,2044.0,2651.0,2594.05,3018.16,3113.01,3152.7,3284.15,3640.22,3899.04,4077.15,4423.21,4309.3,4881.9,5150.81,5674.29
Powiat choszczeński,,1417.0,1450.0,1589.0,1906.0,2028.93,2226.31,2495.76,2661.89,2791.52,2771.38,3029.01,3094.61,3298.26,3390.31,3910.49,4240.39,4539.01
Bierzwnik,,1411.0,1714.0,1730.0,2114.0,2434.93,2425.37,2722.25,2757.65,2593.12,2677.08,3000.96,3269.26,3538.42,3348.27,3969.04,4331.17,4826.65
Choszczno,,1294.0,1318.0,1471.0,1791.0,1764.68,2013.77,2176.14,2249.36,2532.78,2410.11,2784.43,2751.56,2991.69,3141.28,3631.22,3909.73,4245.04
Drawno,,1501.0,1614.0,1740.0,1937.0,2437.98,2490.52,2616.26,2651.76,2666.97,2739.58,3284.49,3176.62,3285.25,4072.35,4225.21,4393.92,4832.9
Krzęcin,,1638.0,1476.0,1737.0,2042.0,2370.02,2459.92,2880.39,2889.5,2947.2,3380.44,3889.89,3974.2,3947.65,3595.76,4253.13,4490.74,5350.86
Pełczyce,,1518.0,1442.0,1597.0,1950.0,1988.71,2296.0,2676.28,3389.36,3208.36,3111.66,3005.47,3301.14,3444.18,3488.58,4064.0,4760.73,4772.56
Recz,,1528.0,1581.0,1674.0,1991.0,2163.23,2390.09,2934.49,3039.71,3388.79,3398.68,3224.75,3334.71,3668.68,3500.35,4215.43,4409.77,4302.99
Powiat drawski,,1394.0,1618.0,1953.0,3023.0,2521.81,2653.94,2938.47,3004.9,3216.43,3394.2,3506.03,3730.69,3727.62,3648.95,4223.2,4532.15,4891.68
Czaplinek,,1416.0,1393.0,1538.0,1865.0,2073.07,2447.81,2512.79,2518.36,2798.3,2805.08,3099.87,3075.76,3155.03,3225.39,3662.85,4367.21,4681.48
Drawsko Pomorskie,,1351.0,1927.0,2105.0,2312.0,2346.29,2464.85,2880.23,2995.32,2977.3,3305.29,3424.41,3553.32,3799.66,3896.08,4429.74,4528.76,4740.68
Kalisz Pomorski,,1520.0,1639.0,3405.0,10450.0,5285.02,4774.19,4623.62,4856.3,5032.34,5332.24,5541.83,5596.05,5698.9,5529.93,6282.48,6117.73,6683.1
Ostrowice,,1619.0,1621.0,2151.0,2092.0,2377.8,2518.15,3054.61,3032.47,4355.47,6159.83,4179.57,7769.9,4258.42,3479.95,4171.46,4281.24,4563.97
Wierzchowo,,1464.0,1556.0,1534.0,1643.0,2284.39,2269.46,2455.98,2640.45,3858.81,3122.93,3183.02,3149.25,3447.19,3229.4,3704.23,4614.16,4912.94
Złocieniec,,1308.0,1470.0,1522.0,1777.0,1871.19,2167.76,2665.61,2631.51,2574.25,2648.05,2923.8,3016.74,3143.6,2960.91,3611.11,3917.3,4395.46
Powiat myśliborski,,1421.0,1430.0,1705.0,1872.0,2126.73,2328.35,2441.4,2538.78,2734.12,2985.4,3107.18,3313.54,3407.88,3567.75,4049.82,4493.43,4769.65
Barlinek,,1217.0,1218.0,1470.0,1596.0,1833.23,2016.94,2084.0,2127.84,2377.3,2562.24,2931.88,3094.9,3218.76,3531.78,3815.77,4498.45,4624.8
Boleszkowice,,1511.0,1475.0,1657.0,1831.0,2139.21,2348.11,2460.62,2713.0,2635.57,2577.98,3390.73,3657.23,4261.36,4025.61,4556.29,5009.5,5641.63
Dębno,,1713.0,1766.0,2104.0,2286.0,2510.21,2684.48,2833.05,2996.4,3085.06,3773.41,3460.16,3604.68,3775.36,3940.24,4555.38,4914.15,5277.0
Myślibórz,,1312.0,1296.0,1486.0,1715.0,1976.87,2235.08,2333.63,2378.68,2697.4,2663.83,2851.35,3098.15,2981.79,3141.63,3667.62,4018.57,4265.3
Nowogródek Pomorski,,1398.0,1400.0,2020.0,1951.0,2385.46,2512.95,2766.06,2954.37,2937.59,2888.01,3254.17,3795.83,4089.25,3655.29,4145.49,4263.9,4720.62
Powiat pyrzycki,,1362.0,1442.0,1704.0,2044.0,1999.63,2078.94,2444.6,2447.73,2615.71,2584.81,2990.36,3289.31,3145.01,3249.06,3667.55,3941.18,4235.45
Bielice,,1470.0,1460.0,1730.0,1844.0,1898.29,2241.48,2621.97,2479.4,2582.08,2664.67,3504.46,3897.66,3781.29,3387.92,4101.82,4337.4,4433.23
Kozielice,,1547.0,1594.0,1929.0,2069.0,2333.32,2580.57,3134.09,3726.99,3609.03,3265.22,3888.14,4183.77,4128.11,5305.18,5166.7,5027.95,5281.23
Lipiany,,1413.0,1601.0,1428.0,1763.0,1848.07,2095.55,2139.81,2283.29,2384.2,2534.12,2750.67,2813.38,2647.24,2709.25,3186.63,3478.26,3805.21
Przelewice,,1500.0,1645.0,2389.0,4485.0,3493.45,2637.32,3285.6,3023.59,2894.11,2974.69,3634.61,3885.35,3682.85,4029.7,4405.07,4660.25,4976.07
Pyrzyce,,1240.0,1338.0,1586.0,1500.0,1622.34,1827.96,2197.5,2165.47,2521.37,2369.34,2709.46,2983.78,2906.8,2912.12,3340.44,3644.19,4025.68
Warnice,,1509.0,1326.0,1627.0,2062.0,1958.98,2110.84,2446.67,2482.12,2421.6,2712.48,2876.92,3719.38,3219.04,3231.36,3709.98,4164.78,4095.5
Powiat szczecinecki,,1492.0,1540.0,1694.0,1980.0,2204.51,2660.2,2784.24,2713.91,2779.96,2887.62,3109.34,3124.02,3491.37,3389.38,3914.49,4273.43,4508.47
Szczecinek,,1432.0,1391.0,1514.0,1712.0,1997.72,2520.92,2701.98,2402.62,2358.33,2566.74,2750.14,2755.61,3357.56,3155.28,3739.66,4110.27,4005.98
Barwice,,1494.0,1560.0,1719.0,2179.0,2327.22,2484.86,2753.98,2998.95,3061.1,2982.63,3343.96,3621.48,3558.61,3638.08,4163.26,4354.37,4738.66
Biały Bór,,1849.0,1967.0,1823.0,2487.0,3021.89,3467.89,4189.62,4262.13,5193.24,4850.55,4801.08,4547.56,4655.39,4825.15,4751.31,4871.39,5741.66
Borne Sulinowo,,1638.0,1961.0,2330.0,2356.0,2536.48,3455.44,2772.96,2850.36,2856.38,2986.89,3325.11,3361.03,3547.58,3493.82,4025.25,4226.53,5142.31
Grzmiąca,,1457.0,1706.0,1681.0,2229.0,2307.27,2465.06,2601.05,3016.18,3045.52,3143.33,3376.47,3489.21,3693.98,3610.91,3950.82,4402.31,4849.38
Szczecinek,,1429.0,1420.0,1738.0,2110.0,2118.06,2295.57,2503.2,2562.57,2733.49,2818.13,3102.29,2992.79,3176.56,3126.49,3825.05,4545.26,4916.23
Powiat świdwiński,,1442.0,1397.0,1644.0,1937.0,2100.2,2287.57,2554.4,2752.35,2789.96,2957.23,3240.71,3282.49,3382.57,3491.42,4000.21,4259.09,4682.3
Świdwin,,1296.0,1352.0,1450.0,1844.0,1786.39,2074.09,2325.66,2267.97,2509.95,2643.3,2784.84,3045.0,3221.98,3321.52,3988.07,4083.69,4315.66
Brzeżno,,1694.0,1706.0,1839.0,2452.0,2114.94,2458.38,2792.57,2871.12,2852.35,2993.3,4073.89,3635.19,3344.79,3779.95,4558.23,5704.91,5157.63
Połczyn-Zdrój,,1372.0,1317.0,1614.0,1819.0,2355.74,2450.45,2634.05,3090.62,2957.26,3006.04,3372.08,3337.2,3521.85,3685.0,3914.89,4175.1,4495.71
Rąbino,,1585.0,1484.0,2353.0,2145.0,2049.46,2152.44,2546.44,2747.68,2780.86,3120.33,3529.53,3532.21,3196.16,3357.03,3866.4,4140.45,4760.07
Sławoborze,,1762.0,1397.0,1637.0,2162.0,2110.55,2297.39,2866.48,3093.34,3069.37,3821.31,3417.38,3510.41,3818.41,3465.49,4049.27,4471.33,6006.61
Świdwin,,1577.0,1523.0,1683.0,1952.0,2249.74,2402.48,2603.74,2822.78,2852.9,2923.61,3379.9,3270.35,3270.75,3394.26,4038.47,4177.09,4960.37
Powiat wałecki,,1338.0,1360.0,1621.0,1848.0,2040.09,2320.87,2477.08,2550.49,2733.94,2846.86,2940.77,3145.07,3247.04,3430.75,3991.48,4081.21,4526.81
Wałcz,,1263.0,1295.0,1491.0,1660.0,1802.59,2109.68,2057.95,2216.95,2353.91,2596.57,2442.07,2509.85,2859.52,3143.18,3783.18,3661.66,4025.35
Człopa,,1516.0,1438.0,1744.0,2003.0,2189.42,2424.12,2900.5,2834.91,3489.66,3444.0,3126.62,4000.84,3385.37,3662.72,4205.35,4505.43,4970.91
Mirosławiec,,1498.0,1444.0,1897.0,2259.0,2516.81,2844.8,3292.18,3227.64,3756.33,3299.11,3416.81,3791.05,3804.68,4090.55,4629.18,4842.53,5657.36
Tuczno,,1351.0,1323.0,1484.0,1805.0,2119.17,2346.59,2691.44,2552.7,2487.15,2593.03,2913.01,2940.19,3129.16,3156.17,3817.45,4033.56,4848.27
Wałcz,,1339.0,1441.0,1765.0,2000.0,2215.61,2465.75,2719.1,2815.2,2859.87,3027.9,3705.01,3924.0,3794.88,3749.6,4122.5,4449.19,4740.53
Powiat łobeski,,1407.0,1415.0,1596.0,1806.0,2021.72,2251.93,2501.51,2615.13,2989.07,3116.73,3352.91,3549.61,3559.0,3606.3,3843.41,4347.45,4692.74
Dobra,,1350.0,1412.0,1661.0,1838.0,1982.79,2201.45,2529.01,2786.64,3133.1,2974.71,2927.33,2949.48,3153.82,2932.73,3333.81,3536.76,3839.31
Łobez,,1391.0,1440.0,1578.0,1707.0,1951.62,2150.11,2404.29,2470.67,2886.56,2966.01,3147.79,3305.97,3548.17,3712.53,3858.75,4646.32,4730.67
Radowo Małe,,1427.0,1373.0,1684.0,1832.0,2126.76,2586.95,2706.48,2793.23,2612.75,2941.2,3913.92,3797.69,3222.82,3254.87,3703.31,3852.46,4087.74
Resko,,1450.0,1428.0,1554.0,1796.0,2094.05,2340.68,2554.95,2605.62,3398.39,3423.91,3694.6,3796.41,4272.62,4106.54,4170.88,4803.47,5441.94
Węgorzyno,,1414.0,1375.0,1594.0,1980.0,2048.68,2210.53,2510.37,2714.22,2825.15,3242.4,3346.83,4005.02,3189.86,3423.21,3830.37,3994.96,4612.62
Powiat m.Szczecin,,1945.0,1718.0,1938.0,2236.0,2551.02,2842.25,3148.85,3191.99,3131.09,3374.72,4057.22,4345.8,4586.98,5283.54,5554.55,5333.31,5675.59
Szczecin,,1945.0,1718.0,1938.0,2236.0,2551.02,2842.25,3148.85,3191.99,3131.09,3374.72,4057.22,4345.8,4586.98,5283.54,5554.55,5333.31,5675.59
Powiat goleniowski,,1296.0,1402.0,1601.0,1885.0,2157.73,2561.18,2782.67,2503.06,2922.9,3066.05,3276.46,3414.01,3242.28,3725.86,4110.97,4394.94,4588.24
Goleniów,,1281.0,1450.0,1506.0,2008.0,2248.72,3114.68,2795.58,2485.64,2780.47,2734.11,3114.7,3229.05,3551.42,4198.92,4532.47,5148.8,5289.07
Maszewo,,1369.0,1382.0,1603.0,1769.0,1953.34,2123.23,2438.29,2705.54,2703.88,3152.98,2771.03,3485.21,2848.13,3234.22,3791.66,3943.16,3922.37
Nowogard,,1219.0,1244.0,1453.0,1585.0,1787.77,1968.26,2120.99,2265.32,2432.3,2433.49,2563.72,2666.02,2794.33,3165.41,3553.99,3483.69,3803.92
Osina,,1357.0,1540.0,2341.0,1877.0,2044.79,2127.3,2447.67,2630.22,3391.28,2717.71,4335.29,3302.37,3758.81,3589.27,3727.58,3962.47,4136.43
Przybiernów,,1489.0,1701.0,2288.0,2473.0,3784.92,3014.31,2674.81,2541.22,2531.84,2757.4,2898.63,3180.32,3330.87,3424.87,3984.12,4089.91,4573.84
Stepnica,,1427.0,1513.0,1820.0,2146.0,2078.12,2277.77,7027.35,3375.34,6920.7,9030.35,8725.82,8766.82,,,,,
Stepnica,,,,,,,,,,,,,,3567.87,4390.74,4790.95,4876.53,4893.96
Powiat gryficki,,1699.0,1689.0,1869.0,2162.0,2505.66,2813.36,2996.2,3350.47,3385.67,3554.9,3784.49,3788.48,4243.45,4123.6,5059.84,6007.41,5312.65
Brojce,,1401.0,1528.0,1710.0,1796.0,2174.61,2367.95,2943.62,2817.07,3354.64,3041.19,3673.17,3681.98,3605.37,3451.15,4295.88,4789.9,4847.16
Gryfice,,1286.0,1322.0,1474.0,1714.0,1914.02,2178.81,2328.13,2332.79,2598.03,2589.18,2629.8,2892.53,3189.34,3524.12,4045.28,4475.7,4675.34
Karnice,,1239.0,1531.0,1462.0,1633.0,1947.16,2192.67,2806.9,2733.98,2851.57,2987.71,3577.33,3386.08,3385.94,3760.04,3891.24,4774.02,4630.49
Płoty,,2087.0,1381.0,1626.0,1832.0,2000.33,2141.4,2478.6,2542.41,2678.62,2758.4,2885.84,3398.37,3819.66,3458.86,4028.44,4293.11,4457.71
Rewal,,6011.0,6124.0,7140.0,8666.0,10396.1,11969.84,11184.74,16649.02,11607.01,13670.73,9450.91,13828.02,14120.82,13841.22,20082.2,27152.22,14287.92
Trzebiatów,,1418.0,1579.0,1656.0,1880.0,2204.6,2444.65,2576.78,2691.03,3239.22,3372.38,4729.86,3134.98,4088.21,3343.82,4019.78,4761.44,4859.06
Powiat gryfiński,,1428.0,1698.0,2063.0,1955.0,2168.07,2339.76,2522.1,2835.25,2824.99,3046.73,3628.16,3470.89,3372.22,3497.47,3964.84,4229.22,4559.58
Banie,,1417.0,1410.0,1759.0,1941.0,2111.33,2249.73,2725.76,2772.23,2882.98,3209.9,3614.06,3530.03,3247.89,3812.59,4149.06,4138.8,4264.28
Cedynia,,1738.0,1807.0,2013.0,2368.0,2873.01,2886.12,3003.02,3218.31,3381.74,3498.45,3671.29,4003.03,3874.89,4200.53,4754.74,4800.94,5230.22
Chojna,,1398.0,1447.0,1707.0,1719.0,2053.59,2271.79,2153.93,2372.81,2564.19,2496.76,4404.59,2984.2,2844.96,2996.0,3444.84,3840.8,4339.61
Gryfino,,1421.0,2006.0,2605.0,2094.0,2193.97,2293.89,2461.9,3085.87,2855.26,3265.9,3491.66,3529.86,3516.25,3660.94,4206.89,4397.22,4758.04
Mieszkowice,,1393.0,1539.0,1773.0,1871.0,2231.04,2633.63,2722.07,2736.66,2724.69,3152.08,3223.92,3675.28,3678.56,3655.2,3746.82,4557.52,4586.48
Moryń,,1467.0,1444.0,1568.0,1746.0,1926.44,2295.61,2585.96,2607.19,2397.27,2535.68,3657.9,3240.01,3152.36,3000.88,3296.76,3718.17,4025.59
Stare Czarnowo,,1379.0,1726.0,1757.0,1757.0,2221.23,2360.84,2768.09,3014.62,2957.74,2939.86,3733.53,4011.96,3852.66,3760.85,4218.69,4819.33,5099.81
Trzcińsko-Zdrój,,1476.0,1554.0,1727.0,2045.0,2109.15,2301.05,2685.13,2810.6,3076.99,3167.23,3211.16,3658.67,3296.0,3297.92,3855.58,3969.63,4129.82
Widuchowa,,1313.0,1384.0,1638.0,1776.0,1949.5,2119.05,2534.78,2571.38,2915.3,2833.7,3310.19,3208.34,3117.58,3085.28,3778.55,3694.76,4194.46
Powiat kamieński,,1559.0,1716.0,2071.0,2072.0,2440.12,2787.6,3176.51,3798.17,3674.8,3685.8,3731.97,3823.25,4574.12,4310.82,4985.79,5310.19,5562.48
Dziwnów,,2998.0,3550.0,,,,,,,,,,,,,,,
Dziwnów,,,,3567.0,3870.0,5216.1,5379.73,4051.81,5012.46,5714.6,5631.67,5643.3,6326.64,15333.04,8873.07,9565.1,10757.62,11452.93
Golczewo,,1385.0,1534.0,1751.0,1824.0,1923.85,2161.67,2541.93,2426.46,2846.37,2987.59,3177.83,2964.38,3096.37,3377.73,4163.13,4271.97,4408.95
Kamień Pomorski,,1163.0,1298.0,1870.0,1440.0,1820.42,1898.7,2105.44,3554.35,2846.68,2884.6,2747.64,2721.48,3019.78,3174.72,3699.27,3825.02,4240.44
Międzyzdroje,,2280.0,2430.0,2930.0,3144.0,3632.4,4773.27,7523.79,8022.41,6523.37,6561.18,6571.79,6688.53,5724.45,6308.82,8122.79,8188.48,8490.07
Świerzno,,1371.0,1470.0,1697.0,1756.0,2015.28,2376.53,2682.13,2605.35,3146.61,2968.4,3536.98,3236.21,3628.24,4101.2,4298.99,4479.28,4246.16
Wolin,,1304.0,1386.0,1633.0,1870.0,2001.61,2359.76,2324.0,2517.62,3031.01,3030.07,3071.51,3385.65,3327.63,3618.43,3981.53,4525.26,4654.1
