jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Kozłów,,1066.0,1151.0,1249.0,1395.0,1629.37,1683.6,1936.41,2207.98,2329.43,2751.4,2539.7,2306.42,2844.4,2676.81,3250.36,3775.69,4051.59
Książ Wielki,,1345.0,1434.0,1421.0,1571.0,1821.76,1958.01,2312.95,2613.59,3109.88,3196.26,3243.58,3262.34,3094.64,3564.14,3954.22,4004.33,4662.44
Miechów,,1164.0,1172.0,1263.0,1701.0,1874.16,1805.09,2011.17,2166.05,2068.03,2577.08,2530.04,2549.74,2602.31,2944.15,3416.08,3661.24,3770.4
Racławice,,1340.0,1518.0,1621.0,1685.0,2213.72,2295.28,2716.98,2578.01,2849.99,3152.56,4020.0,3320.39,4391.51,3857.53,3961.17,4295.71,5632.91
Słaboszów,,1081.0,1087.0,1267.0,1478.0,1856.65,1745.68,2115.73,2232.8,2272.68,2368.11,2603.26,2498.24,2602.46,2577.01,3326.85,3546.26,4091.03
Powiat myślenicki,,1375.0,1381.0,1531.0,1754.0,1893.56,2262.05,2419.28,2472.96,2853.06,3450.9,3351.28,3162.57,3643.6,3390.94,4107.15,4322.59,4545.66
Dobczyce,,1303.0,1570.0,1855.0,2356.0,2026.71,2443.48,2596.98,2978.47,4008.61,4316.45,3775.69,3637.84,3509.3,4524.12,4309.55,4655.11,5390.34
Lubień,,1248.0,1302.0,1455.0,1535.0,1750.37,2002.25,2136.84,2458.94,2602.0,2777.37,2680.43,2704.42,2827.19,3000.69,3742.32,4129.87,4324.36
Myślenice,,1399.0,1268.0,1478.0,1555.0,1789.88,2453.23,2444.2,2187.45,2698.72,3847.71,3499.76,3137.14,4239.87,3038.68,4283.84,4303.63,4337.53
Pcim,,1395.0,1335.0,1458.0,1659.0,1916.3,2047.06,2216.27,2490.77,2716.63,3052.85,2920.4,2877.84,3070.03,3134.37,3758.45,4143.48,4479.1
Raciechowice,,1650.0,1735.0,1663.0,1951.0,2251.72,2616.29,3051.75,3136.0,3545.7,3858.38,4119.51,4668.58,4156.4,4579.2,4935.66,5495.39,5358.62
Siepraw,,1287.0,1478.0,1579.0,1780.0,1972.08,2061.79,2594.99,2425.6,2626.56,2937.08,3742.32,2911.44,3066.95,3977.31,4037.47,4235.59,4604.51
Sułkowice,,1407.0,1318.0,1425.0,1822.0,1751.62,1895.9,2147.58,2145.82,2323.42,2731.38,3114.42,3152.83,3659.89,3010.96,3729.86,3814.81,4021.27
Tokarnia,,1300.0,1396.0,1419.0,1623.0,2050.55,2195.96,2387.38,2695.37,2656.71,2992.32,2990.4,2796.55,3165.34,3087.15,3833.63,4281.59,4493.57
Wiśniowa,,1410.0,1519.0,1580.0,1972.0,2100.39,2164.45,2437.93,3012.31,2910.57,3054.89,2946.05,2838.97,3118.34,3464.92,4111.02,4448.78,4796.69
Powiat proszowicki,,1277.0,1327.0,1350.0,1668.0,1796.43,2051.95,2205.34,2386.84,2706.13,2941.82,2960.42,3006.04,3004.11,3285.52,3746.53,3913.7,4446.26
Koniusza,,1195.0,1500.0,1349.0,1727.0,1814.7,1836.64,2143.11,2275.46,2317.24,2664.94,2572.04,2826.13,2633.23,3346.54,3640.76,3994.69,4208.6
Koszyce,,1843.0,1297.0,1411.0,1545.0,1896.44,2467.78,2210.83,2554.95,4040.21,3235.74,3688.51,3227.29,3095.45,3014.75,3674.04,3753.48,4523.89
Nowe Brzesko,,1161.0,1488.0,1245.0,1663.0,1752.67,1939.43,2277.2,2477.15,3246.97,,,,,,,,
Nowe Brzesko,,,,,,,,,,,3795.19,3723.87,3598.71,3225.06,3016.83,3557.87,4017.88,4267.47
Pałecznica,,1327.0,1422.0,1437.0,2287.0,1853.78,1930.6,2356.95,3009.79,3013.08,4167.15,3257.18,3876.95,4268.04,5912.22,4978.24,5183.63,6021.64
