Kocmyrzów-Luborzyca,12448198.0,13261527.0,14472616.0,17157236.0,17637872.0,20870963.0,24236961.49,25436020.93,27079156.24,30810106.24,40902439.84,34634066.26,33014292.59,37644254.46,38064509.43,48581869.04,55580142.52,64077276.27,4111636.0,7449544.0,9740127.0,10434805.0,10833188.0,11771012.0
Krzeszowice,34288197.0,36617337.0,36737575.0,40907069.0,46649775.0,52756874.8,56241569.97,61358548.96,61175755.85,76350602.01,81159829.14,80035050.03,78966570.54,84428098.34,89886058.99,103657885.27,112698785.0,132548458.65,14164675.0,19252675.0,23653660.0,27548608.0,29700663.0,30711262.0
Liszki,15736942.0,18870476.0,20251472.0,20249721.0,24627869.0,26238713.06,28936062.46,33381930.45,38572942.5,32287647.76,35227164.76,41657442.95,53636733.54,46743609.63,50655456.9,63555251.76,66371727.21,66462032.58,7167799.0,9321017.0,11507209.0,12982445.0,14457176.0,15813586.0
Michałowice,7888226.0,8980678.0,9262270.0,10439798.0,11489356.0,14789822.77,18242228.76,18271323.36,20351586.72,19448565.31,21407029.87,24793202.33,26535961.62,29726603.18,31251417.5,37245184.1,42571760.5,47676837.69,3506073.0,4843006.0,5874354.0,6965122.0,6606064.0,7473307.0
Mogilany,13674569.0,14640948.0,17411591.0,17050709.0,19972660.0,23882687.95,29394333.03,30875020.29,29537829.22,29782161.13,32347161.39,35589239.07,37824689.92,40543851.82,44295075.6,52381691.14,60346595.97,74294606.34,5046719.0,7165374.0,10862093.0,10090238.0,11357817.0,11327390.0
Skała,11322479.0,13617025.0,12952492.0,13218621.0,14673853.0,17990180.57,20320532.94,20663473.18,23271479.47,23396001.1,25300360.57,30031724.38,30357527.15,33722166.28,36771869.75,41601850.42,44483053.79,46340945.77,4413310.0,5574072.0,8724833.0,8500341.0,8958970.0,11403149.0
Skawina,52597055.0,57961584.0,58673424.0,63997296.0,71042987.0,80270745.1,92770369.29,107475105.37,118962260.41,117245946.66,132958065.02,150687638.0,134921247.33,182435429.85,159333479.36,177944025.8,187739313.27,202917466.43,23272076.0,30164442.0,42122996.0,43217618.0,43656701.0,43087330.0
Słomniki,16373659.0,18006251.0,18664094.0,20082886.0,22113687.0,25856000.12,27781320.65,33069844.68,35382440.63,35569483.95,37118770.6,39788269.52,42852713.37,42888906.26,46038556.17,55827307.48,57097902.67,61819449.84,7297678.0,10017356.0,11394579.0,12409342.0,13758673.0,14778915.0
Sułoszowa,6648981.0,7612837.0,8685399.0,9607330.0,11417125.0,11165233.34,13928440.93,13113737.7,18246083.93,20006507.04,17576311.0,18666126.81,19579699.24,17391209.95,23004809.57,22573870.98,23851259.66,27646298.46,3023529.0,4201836.0,5644711.0,6361591.0,6275777.0,6605946.0
Świątniki Górne,,,,,,,,,,,,,,,,,,,4714657.0,5892672.0,,,,
