jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,1998,1999,2000,2019
Powiat suski,4853.0,4920.0,4926.0,4694.0,3638.0,2682.0,2446.0,2189.0,3034.0,3248.0,3321.0,3879.0,4027.0,3215.0,2601.0,1797.0,1579.0,1560.0,2873.0,3612.0,4020.0,1576.0
Powiat tatrzański,3298.0,3486.0,3515.0,3375.0,3255.0,2798.0,1975.0,1874.0,2356.0,2807.0,3175.0,3606.0,3888.0,3679.0,3674.0,3319.0,3053.0,2780.0,1432.0,2138.0,2670.0,2345.0
ŚLĄSKIE,313353.0,330150.0,325516.0,309704.0,281280.0,229819.0,165960.0,122748.0,168425.0,181198.0,186187.0,205459.0,208296.0,175675.0,148508.0,119981.0,94687.0,80079.0,150174.0,210253.0,259790.0,66521.0
Powiat bielski,8318.0,7823.0,7603.0,7167.0,6540.0,5201.0,3635.0,3498.0,4678.0,4799.0,5252.0,6030.0,5816.0,4827.0,4095.0,3034.0,2363.0,1942.0,7445.0,10822.0,6356.0,1746.0
Powiat cieszyński,10345.0,10199.0,10059.0,9912.0,8884.0,7529.0,5585.0,4478.0,5987.0,6782.0,7034.0,7458.0,7711.0,6549.0,5048.0,4297.0,3768.0,3330.0,4044.0,6332.0,8442.0,3073.0
Powiat żywiecki,9555.0,8941.0,8187.0,8354.0,7801.0,5797.0,3933.0,4329.0,6750.0,7278.0,7430.0,8696.0,8347.0,6709.0,5428.0,4514.0,3711.0,3639.0,5746.0,7060.0,8188.0,3304.0
Powiat m.Bielsko-Biała,9770.0,9497.0,9191.0,8707.0,8111.0,6503.0,4789.0,4431.0,5466.0,5720.0,6011.0,6564.0,6277.0,5216.0,4433.0,3230.0,2463.0,2058.0,,,7792.0,1830.0
Powiat lubliniecki,4195.0,4210.0,3939.0,3617.0,3648.0,2919.0,2405.0,2171.0,2897.0,3346.0,3478.0,3546.0,3641.0,3007.0,2567.0,2307.0,1830.0,1686.0,2469.0,3274.0,3846.0,1455.0
Powiat tarnogórski,7928.0,8510.0,8289.0,7796.0,7306.0,5875.0,4368.0,3551.0,4872.0,5335.0,5351.0,5958.0,6078.0,5225.0,4686.0,4087.0,3318.0,2804.0,5341.0,8161.0,7050.0,2483.0
Powiat m.Bytom,16031.0,17775.0,17853.0,16912.0,15186.0,12341.0,8935.0,6791.0,9315.0,9879.0,10707.0,10966.0,11571.0,10387.0,9147.0,7483.0,5288.0,4406.0,7849.0,11358.0,13353.0,3780.0
Powiat m.Piekary Śląskie,3639.0,4499.0,4653.0,4417.0,3879.0,3230.0,2645.0,1740.0,2422.0,2695.0,2676.0,2948.0,2916.0,2383.0,2109.0,1614.0,1224.0,1097.0,,,3157.0,970.0
Powiat częstochowski,9871.0,9911.0,10004.0,10193.0,9471.0,8568.0,6417.0,5524.0,6782.0,7514.0,8113.0,9090.0,9805.0,8160.0,6464.0,4778.0,3716.0,3123.0,15287.0,19837.0,8973.0,2678.0
