jednostka,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Powiat m.Żory,,,,,,,,,,,,,1672.0,1896.0,1448.0,1824.0,1379.0,1262.0,1527.0
Powiat będziński,,,,,,,,,,,,,5195.0,4209.0,3579.0,3215.0,4335.0,5784.0,5163.0
Powiat zawierciański,,,,,,,,,,,,,3288.0,2920.0,2136.0,2139.0,2274.0,2799.0,2666.0
Powiat m.Dąbrowa Górnicza,,,,,,,,,,,,,6809.0,4284.0,3542.0,3969.0,3295.0,4083.0,4836.0
Powiat m.Jaworzno,,,,,,,,,,,,,3156.0,3360.0,1700.0,1507.0,1663.0,1799.0,1785.0
Powiat m.Sosnowiec,,,,,,,,,,,,,8223.0,7805.0,6882.0,5450.0,5283.0,6571.0,6676.0
Powiat mikołowski,,,,,,,,,,,,,2385.0,2368.0,1832.0,2085.0,1919.0,2346.0,2151.0
Powiat pszczyński,,,,,,,,,,,,,1982.0,2160.0,1659.0,1855.0,1330.0,2081.0,2642.0
Powiat bieruńsko-lędziński,,,,,,,,,,,,,1054.0,1642.0,856.0,1309.0,1280.0,1002.0,977.0
Powiat m.Tychy,,,,,,,,,,,,,4360.0,3687.0,3247.0,3747.0,6403.0,3114.0,2923.0
LUBUSKIE,,43211.0,43322.0,42234.0,39483.0,38752.0,38386.0,37913.0,37395.0,39230.0,41065.0,38692.0,38242.0,29736.0,26949.0,22775.0,23388.0,25155.0,25847.0
Powiat gorzowski,,,,,,,,,,,,,2007.0,1571.0,1405.0,1306.0,1077.0,1251.0,1315.0
Powiat międzyrzecki,,,,,,,,,,,,,2915.0,1232.0,1431.0,1374.0,986.0,1017.0,1002.0
Powiat słubicki,,,,,,,,,,,,,1731.0,1852.0,1311.0,1252.0,1235.0,1255.0,1403.0
Powiat strzelecko-drezdenecki,,,,,,,,,,,,,1382.0,1079.0,1049.0,813.0,904.0,996.0,993.0
Powiat sulęciński,,,,,,,,,,,,,1043.0,1110.0,1538.0,820.0,748.0,902.0,892.0
Powiat m.Gorzów Wielkopolski,,,,,,,,,,,,,7386.0,3707.0,3490.0,3316.0,4765.0,4079.0,3836.0
Powiat krośnieński,,,,,,,,,,,,,1567.0,1338.0,1206.0,969.0,1027.0,1166.0,1126.0
Powiat nowosolski,,,,,,,,,,,,,3228.0,3573.0,3110.0,2011.0,1751.0,2298.0,2146.0
Powiat świebodziński,,,,,,,,,,,,,1747.0,1386.0,1351.0,1139.0,1092.0,1076.0,1249.0
Powiat zielonogórski,,,,,,,,,,,,,2385.0,3198.0,1401.0,1755.0,1270.0,1761.0,1299.0
Powiat żagański,,,,,,,,,,,,,2379.0,1967.0,2173.0,1897.0,1703.0,2305.0,2338.0
Powiat żarski,,,,,,,,,,,,,3091.0,2446.0,2207.0,2086.0,2473.0,1875.0,2530.0
Powiat wschowski,,,,,,,,,,,,,3159.0,707.0,666.0,674.0,659.0,774.0,734.0
Powiat m.Zielona Góra,,,,,,,,,,,,,4222.0,4570.0,4611.0,3363.0,3698.0,4400.0,4984.0
WIELKOPOLSKIE,,117913.0,122127.0,117417.0,115673.0,104214.0,90697.0,91237.0,97703.0,96929.0,101372.0,96007.0,95917.0,76459.0,68804.0,61705.0,57487.0,59956.0,63187.0
Powiat jarociński,,,,,,,,,,,,,1143.0,1119.0,1061.0,855.0,818.0,944.0,871.0
Powiat kaliski,,,,,,,,,,,,,1363.0,1151.0,806.0,666.0,650.0,635.0,1132.0
Powiat kępiński,,,,,,,,,,,,,1636.0,1000.0,997.0,874.0,921.0,1000.0,1087.0
Powiat krotoszyński,,,,,,,,,,,,,1436.0,1263.0,1176.0,997.0,1071.0,1358.0,1071.0
Powiat ostrowski,,,,,,,,,,,,,4128.0,4224.0,4356.0,4330.0,2775.0,2971.0,2673.0
Powiat ostrzeszowski,,,,,,,,,,,,,1341.0,1047.0,891.0,771.0,1144.0,751.0,896.0
Powiat pleszewski,,,,,,,,,,,,,1288.0,1038.0,973.0,930.0,1040.0,865.0,704.0
Powiat m.Kalisz,,,,,,,,,,,,,3696.0,3138.0,2740.0,2447.0,2183.0,2542.0,2434.0
Powiat gnieźnieński,,,,,,,,,,,,,3116.0,2514.0,2203.0,1755.0,2098.0,2577.0,2061.0
Powiat kolski,,,,,,,,,,,,,2054.0,1648.0,1402.0,1083.0,999.0,1053.0,1257.0
Powiat koniński,,,,,,,,,,,,,2422.0,2535.0,1756.0,1910.0,1299.0,1146.0,1473.0
Powiat słupecki,,,,,,,,,,,,,993.0,612.0,567.0,494.0,538.0,501.0,624.0
Powiat turecki,,,,,,,,,,,,,2409.0,1339.0,1400.0,1455.0,1775.0,1052.0,1475.0
Powiat wrzesiński,,,,,,,,,,,,,1248.0,1040.0,1012.0,816.0,816.0,853.0,1121.0
Powiat m.Konin,,,,,,,,,,,,,2128.0,1628.0,1586.0,1704.0,1610.0,1532.0,1712.0
Powiat gostyński,,,,,,,,,,,,,1094.0,1027.0,1016.0,1510.0,1036.0,1286.0,2931.0
Powiat grodziski,,,,,,,,,,,,,814.0,669.0,696.0,653.0,735.0,549.0,697.0
Powiat kościański,,,,,,,,,,,,,2033.0,3435.0,1195.0,982.0,939.0,1306.0,1110.0
Powiat leszczyński,,,,,,,,,,,,,1067.0,573.0,710.0,704.0,519.0,924.0,2213.0
Powiat międzychodzki,,,,,,,,,,,,,753.0,527.0,647.0,400.0,361.0,445.0,461.0
Powiat nowotomyski,,,,,,,,,,,,,1357.0,1193.0,1064.0,814.0,785.0,868.0,1369.0
Powiat rawicki,,,,,,,,,,,,,1078.0,976.0,823.0,917.0,881.0,1050.0,969.0
Powiat wolsztyński,,,,,,,,,,,,,963.0,766.0,805.0,706.0,669.0,730.0,920.0
Powiat m.Leszno,,,,,,,,,,,,,2404.0,2084.0,1921.0,1705.0,1551.0,1296.0,1495.0
Powiat chodzieski,,,,,,,,,,,,,1045.0,1011.0,734.0,701.0,721.0,880.0,812.0
Powiat czarnkowsko-trzcianecki,,,,,,,,,,,,,1391.0,1016.0,967.0,1046.0,1100.0,1166.0,1214.0
Powiat pilski,,,,,,,,,,,,,4035.0,2433.0,2850.0,2140.0,1944.0,2203.0,2423.0
Powiat wągrowiecki,,,,,,,,,,,,,1969.0,1530.0,1316.0,1023.0,966.0,1126.0,1108.0
Powiat złotowski,,,,,,,,,,,,,1726.0,1045.0,935.0,900.0,787.0,912.0,968.0
Powiat obornicki,,,,,,,,,,,,,1779.0,1047.0,1350.0,905.0,984.0,1024.0,1127.0
Powiat poznański,,,,,,,,,,,,,8105.0,6303.0,5543.0,5226.0,5030.0,5139.0,5620.0
Powiat szamotulski,,,,,,,,,,,,,2325.0,1521.0,1832.0,1447.0,1501.0,1344.0,1501.0
Powiat średzki,,,,,,,,,,,,,856.0,894.0,889.0,835.0,699.0,1134.0,1034.0
Powiat śremski,,,,,,,,,,,,,885.0,907.0,716.0,1390.0,765.0,990.0,1146.0
Powiat m.Poznań,,,,,,,,,,,,,29837.0,22206.0,19869.0,16614.0,15777.0,15804.0,13478.0
ZACHODNIOPOMORSKIE,,72593.0,68512.0,67096.0,64874.0,60687.0,57947.0,53318.0,58358.0,60957.0,62463.0,58970.0,52047.0,43563.0,39778.0,35891.0,33932.0,39982.0,51618.0
Powiat białogardzki,,,,,,,,,,,,,1587.0,1150.0,1363.0,888.0,869.0,856.0,1798.0
Powiat kołobrzeski,,,,,,,,,,,,,2707.0,2539.0,1767.0,2279.0,1321.0,1556.0,4128.0
Powiat koszaliński,,,,,,,,,,,,,1431.0,1457.0,1116.0,1031.0,1003.0,1165.0,1041.0
Powiat sławieński,,,,,,,,,,,,,1206.0,814.0,788.0,747.0,748.0,844.0,929.0
