jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,773596.0,208028.0,208028.0,17181.0,214.0,5190961473.0,1598.0,0.1,21.8,30.7,2712.0,23.1,61.7,15.2,292.93,53.72,,258.62,14691.0,19784.0,129312.0
ŚLĄSKIE,1141867.0,325516.0,325516.0,23456.0,382.0,8133752550.0,1722.0,-0.7,20.8,31.9,7167.0,20.2,64.7,15.1,330.8,42.46,,302.7,17313.0,24005.0,192702.0
LUBUSKIE,228805.0,108026.0,108026.0,4562.0,72.0,1610829290.0,1598.0,-1.9,23.3,30.0,1552.0,22.5,64.1,13.4,302.56,52.68,,263.02,14609.0,19167.0,43322.0
WIELKOPOLSKIE,772510.0,247869.0,247869.0,17846.0,113.0,5400211458.0,1609.0,-1.3,22.6,29.9,3631.0,22.9,63.4,13.7,315.66,56.95,,237.54,16250.0,23394.0,122127.0
ZACHODNIOPOMORSKIE,359851.0,190864.0,190864.0,7748.0,74.0,2794516939.0,1647.0,-1.3,26.4,31.8,2909.0,21.7,64.5,13.8,335.36,64.28,,254.07,15834.0,20463.0,68512.0
DOLNOŚLĄSKIE,675162.0,278271.0,278271.0,13952.0,145.0,5014824054.0,1729.0,-0.3,23.5,32.1,5376.0,20.1,64.5,15.3,323.97,49.51,,277.01,16139.0,22623.0,127893.0
OPOLSKIE,213771.0,81623.0,81623.0,4743.0,112.0,1551345154.0,1466.0,-1.1,23.7,28.8,1349.0,21.2,63.5,15.3,305.75,37.69,,270.98,13320.0,17630.0,37989.0
KUJAWSKO-POMORSKIE,464483.0,212066.0,212066.0,10457.0,115.0,3298369989.0,1595.0,-1.7,25.0,26.6,2697.0,22.6,63.2,14.2,262.29,48.27,,246.6,14541.0,19691.0,82979.0
POMORSKIE,442989.0,191525.0,191525.0,11282.0,120.0,3808665257.0,1742.0,0.3,23.7,31.9,3169.0,23.0,63.4,13.6,369.62,74.42,,247.46,15100.0,22001.0,112533.0
WARMIŃSKO-MAZURSKIE,299594.0,170430.0,170430.0,7518.0,59.0,2274850838.0,1593.0,-2.0,30.0,30.0,2473.0,24.1,62.7,13.2,261.99,57.73,,239.97,13596.0,16998.0,55970.0
ŁÓDZKIE,669786.0,233064.0,233064.0,13263.0,143.0,4111549713.0,1580.0,0.1,26.1,30.7,3514.0,19.9,63.0,17.1,320.5,48.01,,260.85,15800.0,20531.0,93333.0
ŚWIĘTOKRZYSKIE,324430.0,126538.0,126538.0,6980.0,110.0,1896369242.0,1466.0,0.8,24.3,30.8,532.0,21.9,61.4,16.8,245.36,29.84,,250.45,14075.0,17709.0,42565.0
LUBELSKIE,576247.0,174529.0,174529.0,11942.0,87.0,3240512530.0,1477.0,0.9,27.3,29.6,1829.0,22.9,60.7,16.3,244.3,40.45,,247.5,13339.0,16009.0,64659.0
PODKARPACKIE,493847.0,182497.0,182497.0,11510.0,118.0,3137218317.0,1496.0,-1.2,26.2,30.7,1712.0,24.7,60.7,14.6,252.28,34.27,,241.43,12708.0,16545.0,50324.0
PODLASKIE,283386.0,81274.0,81274.0,6141.0,60.0,1854212956.0,1537.0,0.4,28.7,29.8,1567.0,23.2,60.4,16.4,228.2,52.17,,209.61,13151.0,16682.0,36842.0
MAZOWIECKIE,1161704.0,363554.0,363554.0,26865.0,144.0,10144888960.0,1977.0,3.5,22.3,33.8,6356.0,20.7,62.7,16.6,457.89,92.39,,255.62,18576.0,33549.0,205581.0
