jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,744516.0,145094.0,145094.0,18484.0,220.0,11206934382.69,3354.49,0.3,16.1,32.1,4941.0,19.6,63.5,16.9,613.21,115.47,,339.09,23099.0,36119.0,98443.0
ŚLĄSKIE,1172156.0,186187.0,186187.0,25495.0,375.0,15837955637.48,3420.73,-0.2,14.0,34.0,8329.0,17.1,64.8,18.1,662.63,85.72,,419.64,27356.0,43693.0,172073.0
LUBUSKIE,223367.0,59134.0,59134.0,5203.0,73.0,3141354836.52,3070.46,-3.3,18.4,32.7,2103.0,18.9,65.4,15.7,633.28,115.25,,385.6,23008.0,33738.0,41065.0
WIELKOPOLSKIE,759963.0,134954.0,134954.0,19274.0,116.0,10987452588.22,3184.53,-1.4,16.3,31.2,5353.0,19.6,64.5,15.9,599.56,105.94,,326.86,25799.0,42753.0,101372.0
ZACHODNIOPOMORSKIE,367868.0,108904.0,108904.0,8612.0,75.0,5696307136.58,3305.9,-2.0,21.0,30.6,3657.0,18.2,65.4,16.4,669.38,112.87,,358.45,24229.0,34116.0,62463.0
DOLNOŚLĄSKIE,668761.0,143575.0,143575.0,15106.0,146.0,10542859160.17,3615.76,-0.6,17.0,32.4,5942.0,17.2,65.3,17.5,720.96,104.3,,354.47,25048.0,46296.0,113332.0
OPOLSKIE,211464.0,48029.0,48029.0,5210.0,108.0,2969172025.35,2923.61,-4.2,17.4,31.5,1705.0,16.8,65.4,17.8,684.41,84.16,,341.79,22056.0,33237.0,31355.0
KUJAWSKO-POMORSKIE,464926.0,139622.0,139622.0,11299.0,117.0,6807057308.0,3244.36,-3.8,20.4,29.5,4029.0,19.0,64.4,16.6,557.76,84.86,,345.91,22343.0,33231.0,59130.0
POMORSKIE,453332.0,106667.0,106667.0,12351.0,125.0,8366932681.93,3670.93,0.4,18.6,31.1,3958.0,19.9,64.3,15.9,712.16,173.42,,321.51,24481.0,39054.0,74488.0
WARMIŃSKO-MAZURSKIE,297478.0,107333.0,107333.0,7643.0,60.0,4819505846.31,3316.79,-3.4,24.7,29.8,2887.0,19.6,65.3,15.2,560.54,90.84,,322.54,21609.0,29257.0,39193.0
ŁÓDZKIE,639528.0,138652.0,138652.0,12640.0,139.0,8096539686.37,3190.67,-1.1,18.5,33.9,4055.0,17.3,63.3,19.4,636.38,89.97,,366.55,24764.0,37620.0,73919.0
ŚWIĘTOKRZYSKIE,307448.0,83217.0,83217.0,6881.0,109.0,4133768174.34,3229.19,-1.8,19.4,30.3,1310.0,17.9,63.5,18.7,503.52,71.87,,350.58,21803.0,30957.0,34321.0
LUBELSKIE,533411.0,122441.0,122441.0,12150.0,86.0,6753609920.9,3105.41,-0.9,19.4,32.4,2806.0,18.9,63.2,17.9,474.37,70.18,,339.71,21408.0,28282.0,51471.0
PODKARPACKIE,466521.0,146208.0,146208.0,12323.0,119.0,6744350152.53,3169.57,-2.8,19.3,31.4,2371.0,19.8,63.9,16.3,488.99,57.45,,332.48,19437.0,28545.0,38790.0
PODLASKIE,269976.0,65920.0,65920.0,6294.0,59.0,4036005386.37,3357.77,0.4,20.7,32.3,1883.0,18.6,63.7,17.7,507.87,88.87,,325.91,20973.0,29672.0,25588.0
MAZOWIECKIE,1157979.0,246739.0,246739.0,27506.0,149.0,22550652595.93,4275.61,7.5,14.9,32.8,8712.0,18.6,63.3,18.1,1009.07,178.75,,321.36,29698.0,64473.0,142551.0
