jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,726883.0,164434.0,164434.0,16614.0,221.0,11812348492.69,3518.93,0.5,13.9,32.6,3989.0,19.2,63.1,17.7,670.47,123.32,,341.41,24671.0,38167.0,86529.0
ŚLĄSKIE,1153300.0,208296.0,208296.0,22225.0,373.0,17249605189.56,3744.71,-0.9,12.7,34.0,8602.0,16.9,63.8,19.3,742.76,93.16,,429.86,29630.0,44796.0,158520.0
LUBUSKIE,217038.0,59805.0,59805.0,4742.0,73.0,3440228865.9,3365.34,-4.4,18.1,32.1,1960.0,18.4,64.4,17.2,641.66,100.19,,384.65,23607.0,35786.0,38242.0
WIELKOPOLSKIE,748665.0,144832.0,144832.0,16763.0,116.0,11905159655.97,3437.4,-1.8,15.0,31.7,5744.0,19.3,63.6,17.1,642.43,108.44,,335.37,27200.0,46150.0,95917.0
ZACHODNIOPOMORSKIE,358744.0,111063.0,111063.0,7730.0,75.0,6493305162.75,3776.0,-1.8,19.0,31.4,3293.0,17.7,64.5,17.9,648.34,115.5,,382.48,25439.0,35851.0,52047.0
DOLNOŚLĄSKIE,650942.0,153558.0,153558.0,12895.0,146.0,11345820435.37,3897.51,-0.5,15.5,32.5,5939.0,16.9,64.2,19.0,710.5,113.09,,444.69,27368.0,48179.0,111047.0
OPOLSKIE,204532.0,51636.0,51636.0,4740.0,107.0,3140314592.8,3118.49,-4.1,16.6,30.3,1630.0,16.3,64.7,18.9,625.96,74.28,,388.17,23032.0,34640.0,28647.0
KUJAWSKO-POMORSKIE,458982.0,150145.0,150145.0,9814.0,116.0,7645706656.65,3651.09,-4.2,17.9,31.0,4201.0,18.5,63.7,17.8,549.11,88.06,,398.09,23335.0,35280.0,53457.0
POMORSKIE,449447.0,114148.0,114148.0,10724.0,125.0,9465888596.05,4129.15,0.6,17.8,30.7,3955.0,19.6,63.4,17.1,759.36,143.09,,365.26,25668.0,41457.0,65796.0
WARMIŃSKO-MAZURSKIE,294026.0,115873.0,115873.0,6556.0,60.0,5118365596.22,3534.08,-4.7,23.3,31.1,2789.0,19.0,64.7,16.3,579.75,70.72,,357.04,22611.0,30776.0,32988.0
ŁÓDZKIE,617811.0,151626.0,151626.0,10916.0,138.0,9326104023.7,3704.09,-1.6,16.9,33.9,4417.0,17.0,62.4,20.6,685.97,82.44,,399.57,26514.0,40145.0,66474.0
ŚWIĘTOKRZYSKIE,302540.0,90124.0,90124.0,5844.0,108.0,4234671418.37,3333.7,0.6,16.7,30.7,1383.0,17.3,62.9,19.8,567.58,87.31,,368.65,22522.0,31392.0,29201.0
LUBELSKIE,516159.0,134042.0,134042.0,10367.0,86.0,7351265600.87,3402.56,-0.1,17.3,31.6,4130.0,18.3,62.7,18.9,492.0,87.16,,341.66,22450.0,30449.0,44684.0
PODKARPACKIE,458395.0,154216.0,154216.0,10657.0,119.0,7046880440.44,3310.4,-2.6,17.0,32.1,2332.0,19.1,63.7,17.2,535.07,55.51,,347.05,20596.0,30585.0,35681.0
PODLASKIE,260316.0,70889.0,70889.0,5665.0,59.0,4283790819.68,3580.31,0.2,19.3,33.2,1997.0,17.9,63.6,18.5,528.67,80.64,,376.05,22040.0,31374.0,22368.0
MAZOWIECKIE,1133046.0,283196.0,283196.0,24144.0,150.0,24400545608.35,4597.56,8.1,14.8,31.3,9110.0,18.5,62.4,19.0,977.08,194.52,,371.16,32016.0,69028.0,139641.0
