jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,761638.0,130007.0,130007.0,21801.0,217.0,9735836360.4,2956.7,,17.5,31.1,4095.0,20.0,63.7,16.3,567.28,102.16,,296.49,21102.0,31651.0,88216.0
ŚLĄSKIE,1192451.0,168425.0,168425.0,31209.0,376.0,13962266853.69,3007.2,-0.4,14.7,33.8,8661.0,17.4,65.4,17.2,622.59,75.36,,368.97,25075.0,38339.0,157522.0
LUBUSKIE,228789.0,61062.0,61062.0,6621.0,72.0,2874111472.7,2846.72,-4.0,19.7,33.5,1968.0,19.4,65.8,14.8,598.78,111.83,,301.96,20706.0,30388.0,37395.0
WIELKOPOLSKIE,775921.0,133563.0,133563.0,23552.0,114.0,9704198429.02,2851.51,-3.2,18.9,30.9,5057.0,20.0,65.0,15.0,548.72,99.76,,306.26,23493.0,38431.0,97703.0
ZACHODNIOPOMORSKIE,376467.0,105905.0,105905.0,11048.0,74.0,5063772149.96,2990.5,-0.9,21.5,30.9,3804.0,18.8,65.8,15.4,576.21,114.81,,357.51,22198.0,30821.0,58358.0
DOLNOŚLĄSKIE,687108.0,146260.0,146260.0,18024.0,144.0,8772927320.81,3049.71,-1.0,16.8,32.8,6527.0,17.5,65.8,16.7,635.2,124.99,,336.82,22832.0,38845.0,109336.0
OPOLSKIE,219020.0,47129.0,47129.0,6154.0,110.0,2634887893.63,2553.38,-3.9,18.7,31.5,1762.0,17.2,65.7,17.0,599.69,71.49,,331.35,20229.0,29892.0,28058.0
KUJAWSKO-POMORSKIE,474121.0,134127.0,134127.0,14070.0,115.0,6016157773.72,2908.03,-4.2,22.2,29.8,3896.0,19.6,64.7,15.7,504.92,96.2,,304.21,20485.0,29746.0,58572.0
POMORSKIE,461341.0,100267.0,100267.0,15335.0,122.0,6964458301.39,3130.18,-0.3,20.2,31.8,4145.0,20.3,64.5,15.1,637.48,121.73,,329.03,22547.0,34829.0,90751.0
WARMIŃSKO-MAZURSKIE,303866.0,109181.0,109181.0,9427.0,59.0,4031522402.88,2823.85,-1.4,24.0,29.7,2840.0,20.4,65.2,14.4,571.88,97.38,,309.38,19144.0,25988.0,38841.0
ŁÓDZKIE,662902.0,128105.0,128105.0,15820.0,140.0,7292593834.52,2864.9,-0.5,20.0,32.3,4929.0,17.6,63.9,18.5,558.87,108.06,,351.68,22561.0,32822.0,71104.0
ŚWIĘTOKRZYSKIE,317028.0,83819.0,83819.0,8287.0,108.0,3480945987.94,2738.29,-0.2,19.5,31.9,1041.0,18.5,63.5,17.9,471.08,81.79,,291.39,19733.0,28090.0,35619.0
LUBELSKIE,551472.0,117237.0,117237.0,14590.0,86.0,5581208352.49,2584.13,-0.2,19.7,32.0,2814.0,19.6,63.1,17.3,449.48,62.1,,288.45,18992.0,24489.0,48307.0
PODKARPACKIE,481177.0,141944.0,141944.0,13971.0,118.0,5621644439.44,2676.48,-0.3,19.6,32.0,2273.0,20.4,63.8,15.7,434.5,49.74,,295.53,17663.0,25159.0,38702.0
PODLASKIE,278088.0,61169.0,61169.0,7557.0,59.0,3547451683.64,2978.98,0.1,23.6,32.5,2040.0,19.2,63.4,17.4,485.34,61.54,,267.97,18995.0,26130.0,25819.0
MAZOWIECKIE,1186883.0,224480.0,224480.0,33328.0,147.0,19925673195.47,3821.68,6.8,16.7,34.0,9003.0,18.7,63.7,17.6,820.62,156.16,,331.73,26430.0,55738.0,145274.0
