jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,757481.0,112602.0,112602.0,21422.0,216.0,8558324211.14,2613.53,0.4,18.3,33.2,4149.0,20.8,63.3,15.9,439.79,89.98,,268.19,17884.0,27739.0,87006.0
ŚLĄSKIE,1167999.0,165960.0,165960.0,30022.0,377.0,12714840524.27,2727.16,-1.3,16.7,34.5,9531.0,18.0,65.6,16.5,485.78,63.97,,323.99,21031.0,32915.0,164685.0
LUBUSKIE,224879.0,52293.0,52293.0,6643.0,72.0,2641628926.32,2619.47,-3.4,20.9,32.4,2122.0,20.1,65.8,14.1,468.03,83.28,,295.29,18336.0,27778.0,38386.0
WIELKOPOLSKIE,761206.0,112827.0,112827.0,23599.0,114.0,8730786345.43,2581.4,-2.2,19.8,31.4,4947.0,20.7,64.9,14.4,456.51,79.09,,252.18,20029.0,32895.0,90697.0
ZACHODNIOPOMORSKIE,364527.0,103241.0,103241.0,10893.0,74.0,4532631108.3,2677.64,0.7,22.3,32.0,3703.0,19.5,65.9,14.6,458.18,103.78,,276.1,19244.0,27539.0,57947.0
DOLNOŚLĄSKIE,673387.0,127457.0,127457.0,18582.0,144.0,8306577355.57,2884.47,0.3,18.4,34.2,6681.0,18.1,65.9,16.0,476.88,81.49,,313.72,19506.0,33942.0,112777.0
OPOLSKIE,213983.0,43338.0,43338.0,5856.0,110.0,2451166951.38,2358.19,-2.6,21.0,32.0,1870.0,18.3,65.4,16.4,437.98,70.05,,316.78,17048.0,26176.0,31788.0
KUJAWSKO-POMORSKIE,467078.0,123243.0,123243.0,14126.0,115.0,5359852159.18,2594.89,-5.0,23.9,30.5,3978.0,20.4,64.6,15.0,428.3,62.42,,267.68,17962.0,26854.0,61183.0
POMORSKIE,452537.0,86904.0,86904.0,15499.0,121.0,6618508173.87,2999.41,-0.6,21.2,32.4,4499.0,20.9,64.6,14.5,570.53,119.51,,240.95,18886.0,30729.0,74297.0
WARMIŃSKO-MAZURSKIE,298631.0,98995.0,98995.0,9534.0,59.0,3639369949.45,2551.06,-3.4,26.3,30.5,3029.0,21.3,64.8,13.9,407.37,59.48,,282.42,16934.0,23009.0,44876.0
ŁÓDZKIE,656009.0,123148.0,123148.0,15356.0,140.0,6317292288.57,2466.82,-0.3,21.9,32.3,4901.0,18.1,63.9,17.9,449.04,73.0,,295.21,19773.0,28751.0,73196.0
ŚWIĘTOKRZYSKIE,316055.0,83339.0,83339.0,8500.0,109.0,2855935950.59,2235.58,-1.3,24.5,29.8,1126.0,19.4,63.1,17.4,318.79,52.99,,292.33,17336.0,24762.0,40561.0
LUBELSKIE,553065.0,118146.0,118146.0,14884.0,86.0,4875969610.55,2248.03,-0.2,22.9,31.3,2319.0,20.5,62.6,16.9,333.04,53.66,,275.51,16207.0,21745.0,51222.0
PODKARPACKIE,482473.0,126360.0,126360.0,13766.0,118.0,4915184649.16,2343.6,-2.3,22.3,31.7,2214.0,21.7,63.1,15.3,332.78,44.8,,256.79,15289.0,21961.0,37864.0
PODLASKIE,275893.0,48796.0,48796.0,7375.0,59.0,2861281807.34,2395.32,0.3,25.6,33.0,2045.0,20.3,62.7,17.0,338.14,57.55,,286.24,16060.0,23113.0,26651.0
MAZOWIECKIE,1165717.0,219924.0,219924.0,32645.0,146.0,18497204166.04,3571.94,7.2,17.8,35.1,9064.0,19.1,63.8,17.2,651.46,138.64,,279.8,22383.0,48330.0,159857.0
