jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,783214.0,208175.0,,16993.0,214.0,5014313290.0,1551.0,1.1,23.1,29.5,2492.0,23.8,61.1,15.1,281.2,51.83,,233.57,14629.0,18798.0,106208.0
ŚLĄSKIE,1139050.0,330150.0,,22963.0,384.0,8412938774.0,1774.0,-1.3,21.8,32.3,5823.0,21.0,64.2,14.8,335.52,44.44,,265.75,16734.0,23022.0,182623.0
LUBUSKIE,230793.0,109551.0,,4442.0,72.0,1617904118.0,1603.0,-1.6,24.2,30.0,1479.0,23.4,63.3,13.3,314.83,54.08,,225.38,14501.0,18644.0,43211.0
WIELKOPOLSKIE,777559.0,249238.0,,17412.0,112.0,5294885236.0,1579.0,-1.5,24.3,29.0,3775.0,23.7,62.7,13.6,295.0,54.4,,214.76,15810.0,22101.0,117913.0
ZACHODNIOPOMORSKIE,358534.0,189643.0,,7693.0,74.0,2798106872.0,1648.0,-1.0,26.9,31.8,2811.0,22.6,63.7,13.7,310.47,71.64,,212.78,15561.0,20262.0,72593.0
DOLNOŚLĄSKIE,679217.0,279309.0,,13619.0,146.0,5000435649.0,1720.0,-0.1,23.9,30.5,5020.0,21.0,63.7,15.3,318.05,49.65,,249.63,16020.0,21770.0,120165.0
OPOLSKIE,214031.0,83436.0,,4756.0,113.0,1539178667.0,1446.0,-0.6,24.7,28.3,1122.0,22.1,62.8,15.1,306.12,42.94,,205.26,13120.0,17216.0,39083.0
KUJAWSKO-POMORSKIE,465129.0,211593.0,,10513.0,115.0,3317041564.0,1603.0,-1.7,25.8,27.4,2788.0,23.4,62.5,14.1,259.71,60.69,,212.48,14288.0,19047.0,78754.0
POMORSKIE,441224.0,191752.0,,11173.0,119.0,3693645077.0,1694.0,0.3,26.4,29.4,2934.0,23.8,62.8,13.5,372.67,79.54,,218.7,14801.0,21302.0,113672.0
WARMIŃSKO-MAZURSKIE,300173.0,176629.0,,7230.0,59.0,2227024636.0,1559.0,-1.6,31.4,28.7,2089.0,25.0,61.9,13.1,252.57,46.51,,217.54,13364.0,15980.0,58604.0
ŁÓDZKIE,674097.0,234888.0,,12900.0,143.0,4089818866.0,1566.0,0.7,27.4,31.3,3533.0,20.6,62.4,17.1,296.9,45.36,,244.54,15319.0,19312.0,88534.0
ŚWIĘTOKRZYSKIE,326910.0,131266.0,,7137.0,111.0,1798850409.0,1386.0,0.5,25.7,30.3,584.0,22.7,60.6,16.7,229.69,28.67,,231.91,13517.0,16771.0,39063.0
LUBELSKIE,583287.0,178879.0,,11842.0,87.0,3181048808.0,1447.0,1.2,27.9,30.2,2019.0,23.8,60.0,16.2,232.92,29.57,,223.29,13095.0,15299.0,65757.0
PODKARPACKIE,496365.0,187519.0,,11097.0,117.0,3096568513.0,1472.0,-1.1,26.5,31.6,1677.0,25.6,59.8,14.5,232.8,34.84,,226.7,12470.0,15730.0,49881.0
PODLASKIE,284768.0,86074.0,,6024.0,60.0,1793483513.0,1484.0,0.8,29.4,30.9,1325.0,24.1,59.5,16.3,210.62,40.95,,220.05,12955.0,16139.0,34023.0
MAZOWIECKIE,1162884.0,368856.0,,26141.0,144.0,10687650343.0,2085.0,3.2,24.4,33.6,5855.0,21.4,62.0,16.6,392.56,89.18,,225.48,18448.0,32113.0,194145.0
