jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,718757.0,119601.0,119601.0,17457.0,222.0,13140683842.01,3898.49,0.5,13.7,31.0,4780.0,18.9,62.4,18.6,700.09,127.16,,388.9,26170.0,42172.0,69300.0
ŚLĄSKIE,1147272.0,148508.0,148508.0,22338.0,371.0,18838495258.76,4115.07,-1.6,12.5,34.4,8249.0,16.8,62.5,20.7,793.07,107.44,,466.34,31196.0,48686.0,117163.0
LUBUSKIE,214766.0,39348.0,39348.0,5040.0,73.0,3755916617.62,3684.03,-4.9,16.6,31.6,2087.0,18.1,63.1,18.8,775.11,95.42,,429.14,24893.0,39053.0,26949.0
WIELKOPOLSKIE,744822.0,93311.0,93311.0,17633.0,117.0,13383037241.78,3852.43,-1.5,13.9,31.6,5877.0,19.2,62.6,18.2,694.46,113.13,,361.48,28857.0,50821.0,68804.0
ZACHODNIOPOMORSKIE,356070.0,79393.0,79393.0,8339.0,75.0,7192783541.47,4196.86,-2.8,18.8,31.1,3238.0,17.3,63.1,19.5,803.4,124.2,,404.79,26942.0,39585.0,39778.0
DOLNOŚLĄSKIE,643950.0,99952.0,99952.0,13172.0,146.0,12048805916.69,4147.11,-0.2,14.7,32.8,5514.0,16.8,62.8,20.5,847.97,129.92,,408.08,29012.0,52237.0,79395.0
OPOLSKIE,201774.0,36203.0,36203.0,4920.0,106.0,3374542570.72,3378.31,-2.5,15.5,29.9,1678.0,16.0,63.8,20.2,691.16,80.72,,435.52,24735.0,37818.0,19927.0
KUJAWSKO-POMORSKIE,457787.0,107255.0,107255.0,10354.0,116.0,8495937310.07,4069.48,-5.6,17.0,31.8,4097.0,18.2,62.7,19.1,639.96,80.18,,396.56,24563.0,38202.0,38832.0
POMORSKIE,448840.0,77662.0,77662.0,11858.0,126.0,10162573629.4,4409.46,-0.1,15.8,31.2,4719.0,19.4,62.2,18.4,766.13,135.18,,382.79,26927.0,45001.0,49050.0
WARMIŃSKO-MAZURSKIE,291695.0,83510.0,83510.0,6903.0,60.0,5685698393.04,3942.26,-4.7,22.1,30.5,2749.0,18.5,63.7,17.7,637.72,90.58,,417.64,23672.0,33186.0,27120.0
ŁÓDZKIE,609660.0,109510.0,109510.0,11456.0,137.0,10090574127.5,4039.07,-0.6,15.4,33.8,3806.0,16.8,61.4,21.8,724.87,113.78,,403.54,28109.0,43790.0,48321.0
ŚWIĘTOKRZYSKIE,300408.0,66131.0,66131.0,5892.0,107.0,4486711159.01,3561.15,-2.6,16.8,30.6,1777.0,16.8,62.1,21.0,570.88,80.98,,390.57,24002.0,33844.0,24749.0
LUBELSKIE,507614.0,107895.0,107895.0,10749.0,85.0,7670700611.87,3579.05,-0.7,16.5,32.0,3432.0,17.9,62.1,20.0,568.11,85.18,,391.56,23499.0,32077.0,32981.0
PODKARPACKIE,451736.0,123514.0,123514.0,10852.0,119.0,7457704215.51,3505.68,-2.4,16.3,30.9,2646.0,18.5,63.2,18.2,604.09,68.72,,363.71,21752.0,33177.0,27487.0
PODLASKIE,257862.0,55019.0,55019.0,6061.0,59.0,4510279202.99,3789.34,,17.9,32.1,1975.0,17.4,63.1,19.4,593.24,90.3,,388.32,22564.0,33276.0,17470.0
MAZOWIECKIE,1122391.0,216527.0,216527.0,25808.0,150.0,27932895375.7,5230.1,9.1,13.5,30.0,9859.0,18.6,61.4,20.0,1042.68,201.8,,366.08,33833.0,74738.0,112453.0
