jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,762042.0,178067.0,178067.0,18065.0,215.0,6578322997.0,2016.0,-0.2,21.0,32.1,4676.0,21.8,62.7,15.5,352.03,63.89,,240.98,15693.0,23007.0,115179.0
ŚLĄSKIE,1150212.0,281280.0,281280.0,25411.0,380.0,10283316678.0,2191.0,-0.8,18.5,33.1,9168.0,18.9,65.4,15.7,374.02,57.36,,318.79,18271.0,27955.0,193415.0
LUBUSKIE,226402.0,89151.0,89151.0,4920.0,72.0,2127473037.0,2108.0,-1.7,22.1,31.2,2567.0,21.1,65.4,13.5,317.18,65.62,,274.22,15917.0,23448.0,39483.0
WIELKOPOLSKIE,760498.0,211420.0,211420.0,18950.0,113.0,6986068640.0,2074.0,-1.2,20.4,30.4,4601.0,21.6,64.6,13.8,342.24,62.53,,237.91,17675.0,27941.0,115673.0
ZACHODNIOPOMORSKIE,361292.0,168814.0,168814.0,8441.0,74.0,3662523103.0,2162.0,-0.5,24.7,30.2,3678.0,20.4,65.6,14.0,346.94,64.75,,279.31,16936.0,23500.0,64874.0
DOLNOŚLĄSKIE,671024.0,233352.0,233352.0,15120.0,145.0,6518538444.0,2255.0,0.6,19.6,34.5,7368.0,18.9,65.6,15.5,352.06,57.9,,290.46,17169.0,26815.0,123501.0
OPOLSKIE,213404.0,69396.0,69396.0,4969.0,111.0,1975320994.0,1882.0,-1.8,22.1,29.7,1848.0,19.6,64.7,15.7,357.32,54.12,,291.66,14569.0,21587.0,34637.0
KUJAWSKO-POMORSKIE,464529.0,188021.0,188021.0,11650.0,115.0,4262125738.0,2061.0,-3.1,23.6,28.7,4274.0,21.4,64.3,14.4,284.66,43.3,,248.7,15684.0,22420.0,73551.0
POMORSKIE,447496.0,159900.0,159900.0,12081.0,120.0,5007756603.0,2279.0,-0.6,22.3,32.0,4027.0,21.8,64.3,13.9,360.79,88.95,,265.37,16182.0,25667.0,99594.0
WARMIŃSKO-MAZURSKIE,297641.0,150910.0,150910.0,7810.0,59.0,2912264346.0,2039.0,-2.2,28.9,29.6,3057.0,22.5,64.1,13.4,282.93,69.41,,234.03,14819.0,19535.0,50234.0
ŁÓDZKIE,660643.0,198429.0,198429.0,13344.0,141.0,5049398308.0,1956.0,-0.4,22.4,33.2,5094.0,18.9,63.9,17.2,360.98,44.14,,273.34,17187.0,23944.0,86747.0
ŚWIĘTOKRZYSKIE,318397.0,117754.0,117754.0,7154.0,110.0,2345161951.0,1823.0,0.1,24.0,30.2,893.0,20.6,62.4,17.0,237.34,39.33,,237.88,14893.0,19896.0,39944.0
LUBELSKIE,564527.0,156832.0,156832.0,12994.0,87.0,3968760803.0,1819.0,0.3,23.0,31.7,2828.0,21.6,61.9,16.5,257.2,41.87,,251.54,14118.0,18159.0,61358.0
PODKARPACKIE,486990.0,163956.0,163956.0,11782.0,118.0,3926325614.0,1872.0,-2.4,24.3,31.0,2686.0,23.1,62.0,14.9,269.93,41.65,,256.74,13300.0,18703.0,43909.0
PODLASKIE,279096.0,73193.0,73193.0,6498.0,59.0,2363124328.0,1968.0,,27.5,30.9,2178.0,21.7,61.7,16.6,256.88,53.61,,265.74,14120.0,19175.0,31873.0
MAZOWIECKIE,1162071.0,332525.0,332525.0,27727.0,145.0,14116509606.0,2741.0,5.8,19.3,34.0,8514.0,19.7,63.5,16.8,496.56,91.54,,254.92,19992.0,40088.0,205990.0
