jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,800306.0,213093.0,,17017.0,,4712859322.0,,1.6,24.3,28.7,2514.0,,,,288.38,63.72,,218.69,14066.0,17880.0,
ŚLĄSKIE,1144639.0,313353.0,,23367.0,,8314141451.0,,-1.9,22.3,31.5,6661.0,,,,337.36,50.28,,253.71,16249.0,21816.0,
LUBUSKIE,234017.0,102187.0,,4828.0,,1578631631.0,,-1.2,24.5,31.0,1546.0,,,,290.5,70.13,,217.19,14147.0,18086.0,
WIELKOPOLSKIE,785888.0,237268.0,,17897.0,,5035945929.0,,-1.3,24.6,29.5,3758.0,,,,279.7,66.47,,210.65,15759.0,21772.0,
ZACHODNIOPOMORSKIE,356734.0,175341.0,,8106.0,,2753247321.0,,,27.5,30.5,2226.0,,,,312.7,59.33,,208.47,15156.0,19796.0,
DOLNOŚLĄSKIE,688366.0,267435.0,,14049.0,,4896635749.0,,0.3,24.7,30.5,4691.0,,,,308.81,58.16,,229.61,15477.0,20617.0,
OPOLSKIE,214393.0,78557.0,,4775.0,,1536055795.0,,-0.4,25.5,27.3,1347.0,,,,324.16,35.23,,199.58,12533.0,16538.0,
KUJAWSKO-POMORSKIE,469368.0,205232.0,,10998.0,,3186507348.0,,-1.4,27.7,27.0,2565.0,,,,278.93,44.72,,203.47,13856.0,18413.0,
POMORSKIE,440612.0,175735.0,,11689.0,,3586818985.0,,0.7,24.6,31.0,2532.0,,,,343.82,78.21,,201.1,14613.0,20132.0,
WARMIŃSKO-MAZURSKIE,301928.0,178353.0,,7510.0,,2076210323.0,,-1.2,32.9,27.6,2062.0,,,,257.55,43.0,,203.04,13165.0,15451.0,
ŁÓDZKIE,679561.0,230631.0,,12879.0,,3897047097.0,,0.3,27.9,30.5,3680.0,,,,295.5,52.35,,225.22,14713.0,18238.0,
ŚWIĘTOKRZYSKIE,329934.0,131129.0,,6945.0,,1718833911.0,,-0.8,29.2,29.0,668.0,,,,229.43,24.66,,206.09,12931.0,15889.0,
LUBELSKIE,591238.0,178980.0,,11553.0,,3030969784.0,,0.4,28.2,30.2,1944.0,,,,210.2,32.04,,221.57,12699.0,14857.0,
PODKARPACKIE,500389.0,195173.0,,11314.0,,2943108190.0,,-1.4,25.8,30.9,1546.0,,,,237.87,29.22,,208.37,12225.0,15056.0,
PODLASKIE,287700.0,86471.0,,6001.0,,1747575927.0,,0.8,31.7,28.6,1495.0,,,,222.24,31.22,,206.64,12665.0,15568.0,
MAZOWIECKIE,1169706.0,346118.0,,26194.0,,9939422801.0,,3.2,25.0,33.8,6008.0,,,,395.67,81.07,,210.98,18009.0,31325.0,
