jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,739126.0,71489.0,71489.0,18450.0,224.0,17696379384.78,5211.47,1.8,11.3,31.7,4387.0,19.0,61.0,20.0,879.06,182.93,66.98,488.47,,50735.0,74697.0
ŚLĄSKIE,1179798.0,80079.0,80079.0,22242.0,368.0,23740530443.78,5229.03,-1.0,11.2,34.0,8152.0,17.0,60.3,22.6,944.31,118.91,61.32,638.82,,57255.0,110167.0
LUBUSKIE,224507.0,22201.0,22201.0,4935.0,73.0,5138684275.45,5060.55,-5.5,15.7,32.5,1628.0,18.1,61.0,21.0,931.19,172.65,72.15,507.74,,45317.0,25155.0
WIELKOPOLSKIE,779430.0,50867.0,50867.0,18168.0,117.0,17942545134.16,5140.25,-3.6,13.0,30.5,5787.0,19.3,60.7,19.9,839.31,137.14,68.32,490.14,,59355.0,59956.0
ZACHODNIOPOMORSKIE,373600.0,46002.0,46002.0,8249.0,74.0,8943036548.32,5251.31,-2.0,16.1,31.9,3268.0,17.3,60.8,21.9,948.74,150.04,52.01,555.43,,45700.0,39982.0
DOLNOŚLĄSKIE,672612.0,62842.0,62842.0,14140.0,145.0,15731381774.76,5422.74,1.0,12.9,31.2,5600.0,17.0,60.4,22.6,982.52,144.16,61.18,548.87,,60447.0,74726.0
OPOLSKIE,205686.0,22663.0,22663.0,4710.0,105.0,4607397400.61,4663.29,-4.3,13.0,30.9,1510.0,15.9,62.0,22.0,758.01,75.35,70.52,550.13,,43712.0,17326.0
KUJAWSKO-POMORSKIE,478284.0,72655.0,72655.0,10364.0,116.0,10765699391.19,5176.02,-5.1,15.7,30.7,3261.0,18.0,60.9,21.0,795.22,98.35,65.52,532.44,,44694.0,43601.0
POMORSKIE,470463.0,46082.0,46082.0,12473.0,127.0,13553889952.39,5821.58,1.5,14.6,30.2,3559.0,19.6,60.3,20.0,930.56,197.04,74.35,510.2,,53497.0,45378.0
WARMIŃSKO-MAZURSKIE,303364.0,53141.0,53141.0,6696.0,59.0,7213476721.42,5039.81,-6.8,19.8,30.9,2494.0,18.3,61.9,19.8,779.11,152.79,80.58,491.22,,37843.0,25203.0
ŁÓDZKIE,632561.0,66036.0,66036.0,11555.0,135.0,12490201347.92,5055.51,-1.4,13.5,34.3,3605.0,16.9,59.4,23.7,861.87,113.73,63.6,544.16,,51166.0,43212.0
ŚWIĘTOKRZYSKIE,311121.0,44118.0,44118.0,5902.0,106.0,5824565763.77,4680.69,-1.9,14.2,32.1,1725.0,16.6,60.5,23.0,750.51,105.12,65.11,564.83,,39742.0,20271.0
LUBELSKIE,521232.0,74449.0,74449.0,10509.0,84.0,10443991672.06,4922.67,-2.0,15.3,33.4,3119.0,17.6,60.6,21.8,650.87,108.4,72.61,540.31,,37100.0,34181.0
PODKARPACKIE,462754.0,82933.0,82933.0,10874.0,119.0,10618104784.22,4987.96,-2.7,13.3,34.1,2477.0,18.2,62.0,19.8,716.28,75.6,75.67,498.49,,38872.0,24257.0
PODLASKIE,268673.0,36786.0,36786.0,5956.0,59.0,6332541050.41,5354.41,1.1,15.6,32.2,1746.0,17.4,61.7,20.9,694.87,105.32,74.56,496.81,,39160.0,17139.0
MAZOWIECKIE,1174667.0,136545.0,136545.0,27220.0,152.0,35890962124.45,6656.57,9.9,12.1,30.7,9489.0,19.0,59.5,21.4,1123.3,234.2,67.7,485.04,,88677.0,112798.0
