jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,756067.0,142221.0,142221.0,20381.0,220.0,10836991136.31,3253.43,,15.7,33.9,3621.0,19.9,63.6,16.5,604.37,111.18,,309.23,21767.0,32909.0,94302.0
ŚLĄSKIE,1186494.0,181198.0,181198.0,28462.0,376.0,15209687483.2,3279.71,-0.3,14.2,34.2,8522.0,17.3,65.2,17.6,656.39,79.12,,387.69,26043.0,40201.0,169024.0
LUBUSKIE,229094.0,59225.0,59225.0,5926.0,73.0,3071201747.62,3002.46,-3.5,18.5,33.3,1937.0,19.1,65.8,15.1,634.93,121.84,,328.26,22012.0,31723.0,39230.0
WIELKOPOLSKIE,766825.0,135172.0,135172.0,21191.0,116.0,10347944195.83,3006.81,-1.8,17.8,30.0,4926.0,19.9,64.9,15.3,577.9,110.6,,323.03,24307.0,39454.0,96929.0
ZACHODNIOPOMORSKIE,375129.0,109964.0,109964.0,9521.0,75.0,5290953899.83,3068.66,-1.7,21.7,29.9,3314.0,18.5,65.8,15.7,613.86,102.48,,377.08,23341.0,32061.0,60957.0
DOLNOŚLĄSKIE,680021.0,150282.0,150282.0,16390.0,146.0,9864222617.88,3382.19,-0.7,17.0,33.8,5797.0,17.4,65.7,16.9,661.71,117.98,,354.42,24001.0,42295.0,114342.0
OPOLSKIE,215577.0,48775.0,48775.0,5693.0,108.0,2905513246.74,2852.6,-3.6,17.8,31.6,1516.0,17.1,65.6,17.3,610.04,72.03,,351.7,21010.0,30818.0,30575.0
KUJAWSKO-POMORSKIE,467718.0,139401.0,139401.0,12447.0,117.0,6448633879.38,3072.62,-4.8,21.0,30.5,4000.0,19.4,64.7,16.0,541.68,101.53,,316.08,21442.0,31127.0,56164.0
POMORSKIE,455605.0,104694.0,104694.0,13604.0,124.0,8024447295.81,3533.93,0.1,19.0,32.0,3661.0,20.1,64.6,15.4,689.36,133.59,,332.21,23252.0,36017.0,81849.0
WARMIŃSKO-MAZURSKIE,299695.0,105942.0,105942.0,8370.0,60.0,4481976740.58,3082.24,-2.4,24.6,29.2,2899.0,20.0,65.4,14.7,544.2,101.13,,334.33,20582.0,27197.0,37666.0
ŁÓDZKIE,653810.0,131617.0,131617.0,14513.0,140.0,7729434565.98,3035.28,-0.7,19.3,33.5,4267.0,17.5,63.8,18.8,594.75,118.86,,353.17,23901.0,34747.0,74725.0
ŚWIĘTOKRZYSKIE,310885.0,82141.0,82141.0,7833.0,110.0,4097354513.0,3189.09,-1.1,19.3,31.3,1536.0,18.3,63.6,18.1,486.0,95.91,,322.46,20532.0,28968.0,33382.0
LUBELSKIE,543923.0,119709.0,119709.0,13302.0,87.0,6290944950.67,2883.63,-0.6,19.9,32.8,2483.0,19.2,63.2,17.5,449.07,62.41,,314.22,20036.0,25875.0,47783.0
PODKARPACKIE,472174.0,142263.0,142263.0,13213.0,119.0,6628740367.94,3116.2,-1.6,18.8,31.9,2087.0,20.3,63.9,15.9,473.49,57.86,,323.1,18255.0,26122.0,36885.0
PODLASKIE,276277.0,63761.0,63761.0,7003.0,60.0,3843309352.0,3191.34,-0.2,22.0,33.7,1937.0,19.0,63.6,17.4,463.31,67.45,,312.8,19711.0,27381.0,24670.0
MAZOWIECKIE,1174508.0,238341.0,238341.0,30488.0,148.0,21124738416.95,4018.71,7.8,15.9,33.8,8314.0,18.7,63.5,17.7,958.63,181.19,,321.11,27650.0,59666.0,140040.0
