jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,757377.0,145261.0,145261.0,19543.0,215.0,7487377923.38,2291.31,0.4,18.8,33.1,4993.0,21.3,63.0,15.7,360.37,68.71,,261.68,16739.0,25308.0,105630.0
ŚLĄSKIE,1154742.0,229819.0,229819.0,27847.0,379.0,11288066723.67,2413.54,-0.9,18.0,33.9,10718.0,18.4,65.5,16.1,423.43,56.89,,324.93,19681.0,29744.0,183620.0
LUBUSKIE,224422.0,72816.0,72816.0,5867.0,72.0,2288808766.46,2269.69,-3.0,20.8,32.3,2420.0,20.5,65.7,13.8,381.81,88.89,,281.31,17015.0,25155.0,38752.0
WIELKOPOLSKIE,757558.0,169089.0,169089.0,20706.0,113.0,7640821404.23,2264.18,-1.3,19.5,31.5,5244.0,21.1,64.8,14.1,390.27,78.49,,257.46,18777.0,29819.0,104214.0
ZACHODNIOPOMORSKIE,362669.0,138866.0,138866.0,9778.0,74.0,4051799757.64,2392.51,-0.1,23.5,30.7,4645.0,19.9,65.8,14.3,396.8,89.47,,288.85,18065.0,25212.0,60687.0
DOLNOŚLĄSKIE,669486.0,185417.0,185417.0,16520.0,145.0,7445630466.73,2581.48,0.3,18.5,34.9,7358.0,18.5,65.8,15.7,404.26,58.46,,305.63,18090.0,30076.0,119466.0
OPOLSKIE,212859.0,60058.0,60058.0,5598.0,111.0,2199808938.42,2106.4,-2.6,22.5,30.4,2091.0,18.9,65.0,16.1,372.19,49.12,,286.9,15608.0,22852.0,32628.0
KUJAWSKO-POMORSKIE,464394.0,160061.0,160061.0,12754.0,115.0,4776371984.55,2311.42,-4.7,23.8,29.7,4295.0,20.9,64.4,14.7,329.1,54.88,,274.25,16669.0,24259.0,67604.0
POMORSKIE,448477.0,125951.0,125951.0,13941.0,120.0,5772321270.07,2622.51,-0.3,21.4,33.2,4371.0,21.3,64.5,14.2,470.49,113.8,,257.5,17322.0,27690.0,90182.0
WARMIŃSKO-MAZURSKIE,296493.0,127574.0,127574.0,8401.0,59.0,3277226230.51,2296.44,-2.8,27.3,31.3,3480.0,21.9,64.5,13.6,337.21,56.87,,259.4,15877.0,20921.0,48926.0
ŁÓDZKIE,656743.0,160698.0,160698.0,14468.0,141.0,5714801457.23,2222.33,-0.2,22.4,31.8,5411.0,18.5,63.9,17.6,392.3,68.94,,290.68,18538.0,25863.0,79563.0
ŚWIĘTOKRZYSKIE,316490.0,99406.0,99406.0,7858.0,109.0,2700448882.9,2106.77,-1.3,25.0,29.9,870.0,20.0,62.8,17.2,273.86,43.0,,264.53,16060.0,21921.0,41074.0
LUBELSKIE,557854.0,141763.0,141763.0,13534.0,86.0,4437616062.37,2040.05,-0.8,23.3,31.1,1917.0,21.0,62.3,16.7,274.8,45.92,,271.13,14911.0,19359.0,57329.0
PODKARPACKIE,483522.0,145246.0,145246.0,12678.0,118.0,4475879302.08,2134.45,-2.4,22.7,32.5,2301.0,22.3,62.6,15.1,287.57,40.71,,262.06,14156.0,20039.0,41356.0
PODLASKIE,276913.0,61773.0,61773.0,6869.0,59.0,2642028367.18,2206.08,0.4,26.3,31.7,1853.0,21.0,62.3,16.8,292.65,56.37,,287.55,15038.0,20378.0,27725.0
MAZOWIECKIE,1160757.0,285612.0,285612.0,29819.0,145.0,16511129004.4,3196.97,6.6,18.8,34.7,9755.0,19.3,63.7,17.0,565.38,107.63,,270.45,20836.0,43494.0,189162.0
