jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,719152.0,96531.0,96531.0,18001.0,223.0,15068865100.02,4463.09,1.3,13.4,31.3,4641.0,18.9,62.0,19.1,759.87,140.66,37.32,440.81,27492.0,43865.0,72583.0
ŚLĄSKIE,1149276.0,119981.0,119981.0,22970.0,370.0,20512387686.29,4494.0,-1.1,11.9,34.9,8185.0,16.8,61.8,21.4,798.18,106.97,32.91,535.89,32337.0,50184.0,105799.0
LUBUSKIE,215734.0,32367.0,32367.0,5060.0,73.0,4279639368.99,4206.24,-5.7,15.9,32.5,1885.0,18.1,62.4,19.5,834.09,86.11,40.36,488.96,26250.0,40639.0,22775.0
WIELKOPOLSKIE,749486.0,77697.0,77697.0,18529.0,117.0,15288344090.07,4396.04,-2.6,14.2,31.1,6082.0,19.2,62.0,18.8,735.6,130.28,43.35,420.2,30585.0,52844.0,61705.0
ZACHODNIOPOMORSKIE,357609.0,65842.0,65842.0,8256.0,75.0,7999885563.23,4681.34,-2.5,18.2,30.6,3130.0,17.3,62.3,20.4,795.15,122.9,35.12,469.49,28458.0,40594.0,35891.0
DOLNOŚLĄSKIE,646170.0,85984.0,85984.0,13872.0,146.0,13346985827.46,4596.37,0.3,14.4,32.1,5077.0,16.8,62.0,21.2,876.22,145.26,34.96,473.03,30496.0,53659.0,74705.0
OPOLSKIE,202494.0,32419.0,32419.0,4828.0,106.0,3805349549.9,3826.44,-3.5,14.5,30.7,1435.0,15.9,63.2,20.9,744.97,89.37,38.28,480.06,26208.0,38553.0,19904.0
KUJAWSKO-POMORSKIE,460915.0,98522.0,98522.0,10395.0,116.0,9299279275.07,4461.1,-4.5,16.1,31.6,3743.0,18.1,62.2,19.8,669.48,83.49,53.31,446.13,26261.0,39503.0,37144.0
POMORSKIE,450769.0,64132.0,64132.0,12401.0,126.0,11385171375.72,4925.51,1.1,15.1,30.1,3851.0,19.4,61.6,19.0,849.64,162.19,53.99,452.99,28346.0,46913.0,46072.0
WARMIŃSKO-MAZURSKIE,292594.0,73079.0,73079.0,6693.0,59.0,6236286720.97,4337.35,-5.1,21.9,29.7,2661.0,18.4,63.1,18.5,643.11,91.0,54.68,454.64,25436.0,34532.0,26971.0
ŁÓDZKIE,611654.0,91041.0,91041.0,11712.0,136.0,11114314463.28,4466.42,-1.0,14.9,34.1,4086.0,16.8,60.7,22.5,752.6,118.22,43.36,459.84,29752.0,45199.0,46039.0
ŚWIĘTOKRZYSKIE,301974.0,57126.0,57126.0,5995.0,107.0,5016308253.55,3998.64,-1.4,16.0,30.3,1799.0,16.7,61.6,21.7,604.3,99.05,45.63,489.34,25466.0,34633.0,18970.0
LUBELSKIE,508444.0,95596.0,95596.0,10654.0,85.0,8672551566.49,4060.73,-1.6,15.4,33.3,3129.0,17.7,61.6,20.6,601.65,88.1,50.34,445.03,25299.0,33371.0,31221.0
PODKARPACKIE,452043.0,107567.0,107567.0,11114.0,119.0,8533430676.79,4012.29,-1.5,14.0,32.2,2506.0,18.4,62.9,18.8,594.06,74.12,48.76,431.61,23116.0,34120.0,23437.0
PODLASKIE,259299.0,48361.0,48361.0,6279.0,59.0,5121270576.16,4312.33,0.3,16.3,32.0,1815.0,17.4,62.7,19.9,562.09,99.62,51.94,456.13,24449.0,34300.0,17048.0
MAZOWIECKIE,1128165.0,188910.0,188910.0,26696.0,151.0,30534891147.38,5700.17,8.8,12.9,30.5,8569.0,18.7,60.7,20.6,1019.91,182.51,38.96,432.08,35404.0,77360.0,108195.0
