jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,719851.0,79430.0,79430.0,18305.0,223.0,16279000320.3,4807.51,2.8,12.8,30.3,4330.0,18.9,61.5,19.5,817.07,144.4,69.17,462.05,29034.0,47272.0,82410.0
ŚLĄSKIE,1151366.0,94687.0,94687.0,22449.0,369.0,21736363459.19,4774.47,-1.3,11.4,34.0,8014.0,16.9,61.1,22.0,881.0,112.39,66.92,594.84,33848.0,53654.0,111679.0
LUBUSKIE,216860.0,24605.0,24605.0,4953.0,73.0,4753363585.74,4675.51,-5.6,15.2,32.4,1843.0,18.1,61.7,20.3,853.73,142.64,61.55,505.57,27608.0,42755.0,23388.0
WIELKOPOLSKIE,754242.0,58857.0,58857.0,18320.0,117.0,16741398360.58,4803.88,-3.9,13.1,31.3,5933.0,19.3,61.3,19.4,832.63,132.17,70.88,456.21,32334.0,56496.0,57487.0
ZACHODNIOPOMORSKIE,359628.0,52599.0,52599.0,8231.0,75.0,8398029466.05,4920.97,-2.8,17.1,31.3,3349.0,17.3,61.5,21.2,885.37,143.06,57.26,502.47,29748.0,43150.0,33932.0
DOLNOŚLĄSKIE,649591.0,68813.0,68813.0,13919.0,146.0,14348249537.94,4943.64,0.3,12.8,32.4,5946.0,16.9,61.2,21.9,886.45,142.26,66.95,509.89,32075.0,57228.0,72858.0
OPOLSKIE,200069.0,26066.0,26066.0,4760.0,105.0,4119389504.02,4156.13,-3.5,14.0,29.5,1592.0,15.9,62.6,21.4,754.25,83.7,64.75,519.24,27417.0,41080.0,19771.0
KUJAWSKO-POMORSKIE,464072.0,81543.0,81543.0,10193.0,116.0,10009329337.12,4805.4,-4.5,15.5,30.1,3877.0,18.1,61.5,20.4,689.73,90.76,82.16,503.44,27749.0,41875.0,37478.0
POMORSKIE,453543.0,49653.0,49653.0,12594.0,127.0,12352841995.43,5325.11,2.2,14.4,29.7,3734.0,19.6,60.9,19.5,837.42,187.6,79.03,497.36,29909.0,50001.0,44110.0
WARMIŃSKO-MAZURSKIE,293288.0,60003.0,60003.0,6834.0,59.0,6720018662.77,4683.65,-6.0,20.6,30.0,2820.0,18.4,62.5,19.1,741.79,133.98,79.01,463.94,26720.0,36306.0,24490.0
ŁÓDZKIE,612874.0,72662.0,72662.0,11542.0,136.0,11688336780.15,4713.11,-1.4,15.2,33.9,4420.0,16.9,60.0,23.1,804.65,131.1,60.38,516.73,31465.0,48126.0,44056.0
ŚWIĘTOKRZYSKIE,302955.0,46570.0,46570.0,5866.0,107.0,5389259627.33,4312.41,-1.8,15.1,31.6,1788.0,16.6,61.1,22.3,698.13,97.07,70.52,537.84,26964.0,36970.0,21085.0
LUBELSKIE,508894.0,81221.0,81221.0,10568.0,85.0,9450261271.37,4438.28,-2.8,15.4,33.6,3347.0,17.7,61.1,21.2,611.77,92.6,77.36,503.63,26626.0,35712.0,31076.0
PODKARPACKIE,451304.0,90972.0,90972.0,10988.0,119.0,9457953302.68,4445.18,-2.0,13.2,34.0,2467.0,18.3,62.4,19.3,666.72,79.92,79.41,462.25,24416.0,36088.0,29721.0
PODLASKIE,260271.0,39997.0,39997.0,5912.0,59.0,5625880581.22,4746.88,0.4,15.7,32.7,1812.0,17.4,62.2,20.4,618.17,89.49,79.54,507.31,25667.0,37077.0,16460.0
MAZOWIECKIE,1133447.0,154068.0,154068.0,27142.0,151.0,32649148833.89,6077.0,9.4,12.3,30.6,9040.0,18.9,60.1,21.0,1073.56,200.48,66.86,463.04,37128.0,83123.0,103962.0
