jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,733694.0,161161.0,161161.0,18197.0,221.0,11449544274.64,3417.42,0.9,15.1,31.8,4817.0,19.4,63.4,17.3,626.12,116.01,,356.05,24208.0,37334.0,96920.0
ŚLĄSKIE,1160856.0,205459.0,205459.0,24925.0,374.0,16392302333.21,3547.64,-0.8,13.2,33.5,8493.0,17.0,64.3,18.7,710.68,98.33,,421.91,29002.0,44863.0,167573.0
LUBUSKIE,219346.0,60614.0,60614.0,5435.0,73.0,3244700227.67,3171.43,-4.9,18.3,33.3,2006.0,18.6,64.9,16.4,630.97,107.22,,416.78,23535.0,35078.0,38692.0
WIELKOPOLSKIE,754865.0,147902.0,147902.0,19103.0,116.0,11713609242.23,3386.53,-1.7,15.5,31.8,5696.0,19.4,64.1,16.5,615.18,103.12,,327.74,26898.0,44774.0,96007.0
ZACHODNIOPOMORSKIE,361331.0,112521.0,112521.0,8559.0,75.0,6242163804.75,3624.64,-1.8,19.3,30.8,3293.0,17.9,65.0,17.1,680.1,116.59,,359.58,25063.0,35453.0,58970.0
DOLNOŚLĄSKIE,658322.0,157369.0,157369.0,15084.0,146.0,11002020749.38,3773.96,-0.7,16.6,31.7,5792.0,17.0,64.8,18.2,730.42,107.58,,411.17,26525.0,47986.0,115116.0
OPOLSKIE,208143.0,51775.0,51775.0,5351.0,107.0,3099628938.5,3061.98,-3.8,16.6,30.9,1656.0,16.6,65.1,18.3,714.53,72.78,,342.01,23085.0,34152.0,29909.0
KUJAWSKO-POMORSKIE,462406.0,148839.0,148839.0,11207.0,117.0,7319291146.43,3489.0,-3.8,19.0,30.5,3916.0,18.8,64.1,17.1,558.91,91.32,,381.25,22977.0,34365.0,60745.0
POMORSKIE,452852.0,114644.0,114644.0,12072.0,125.0,9470414043.73,4141.44,0.9,17.9,30.9,3098.0,19.7,63.8,16.4,749.64,154.22,,348.3,25331.0,41341.0,63292.0
WARMIŃSKO-MAZURSKIE,296427.0,113223.0,113223.0,7523.0,60.0,4963003097.97,3418.16,-5.2,24.0,31.7,2779.0,19.3,65.0,15.7,582.18,83.95,,345.9,22196.0,30232.0,37375.0
ŁÓDZKIE,626689.0,151036.0,151036.0,12616.0,139.0,8572677811.74,3390.24,-0.8,17.7,33.9,4512.0,17.1,62.9,20.0,682.08,87.58,,381.78,26078.0,39403.0,68463.0
ŚWIĘTOKRZYSKIE,305979.0,86708.0,86708.0,6820.0,109.0,4108958574.03,3221.42,-0.8,18.0,30.2,1991.0,17.6,63.2,19.2,514.35,89.67,,357.6,22506.0,31642.0,31691.0
LUBELSKIE,523258.0,131125.0,131125.0,11772.0,86.0,7142504342.56,3293.58,-0.5,18.4,31.5,3098.0,18.6,63.0,18.4,460.32,71.69,,356.7,22164.0,29648.0,48921.0
PODKARPACKIE,463011.0,153807.0,153807.0,11859.0,119.0,6834128242.98,3210.14,-2.8,18.7,31.3,2228.0,19.5,63.8,16.7,509.59,48.75,,347.71,20194.0,29554.0,38152.0
PODLASKIE,264110.0,68705.0,68705.0,6398.0,59.0,4222650840.54,3519.69,0.1,19.7,31.9,1756.0,18.2,63.7,18.1,531.74,74.24,,367.83,21378.0,30288.0,25136.0
MAZOWIECKIE,1143093.0,271927.0,271927.0,26929.0,149.0,23876898753.72,4510.84,7.7,14.6,31.8,8757.0,18.6,62.9,18.6,1016.32,175.2,,357.67,31351.0,67389.0,142841.0
