jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,758660.0,97813.0,97813.0,22041.0,217.0,9207382590.06,2805.1,0.4,18.5,31.4,4362.0,20.4,63.5,16.1,540.38,88.05,,287.44,19469.0,30257.0,82445.0
ŚLĄSKIE,1180351.0,122748.0,122748.0,31109.0,377.0,13705127830.86,2948.0,-1.4,15.4,34.6,9711.0,17.6,65.5,16.9,585.45,71.33,,334.92,22904.0,36146.0,153214.0
LUBUSKIE,225327.0,46311.0,46311.0,6982.0,72.0,2669395105.83,2646.49,-3.5,21.0,32.5,2232.0,19.7,65.9,14.5,552.27,99.29,,339.31,19681.0,29265.0,37913.0
WIELKOPOLSKIE,769121.0,91441.0,91441.0,24656.0,114.0,9570628410.75,2822.15,-2.1,19.2,30.6,5677.0,20.3,65.0,14.7,524.55,95.37,,278.6,21768.0,35669.0,91237.0
ZACHODNIOPOMORSKIE,369775.0,82520.0,82520.0,11579.0,74.0,4912423741.06,2902.71,,22.2,31.3,3784.0,19.1,65.9,15.0,543.63,113.97,,313.98,21094.0,30205.0,53318.0
DOLNOŚLĄSKIE,679057.0,113890.0,113890.0,19087.0,144.0,8535019434.75,2966.81,-0.8,18.3,33.7,6250.0,17.8,65.9,16.3,600.0,103.96,,317.49,21256.0,36507.0,105351.0
OPOLSKIE,216682.0,35698.0,35698.0,6220.0,110.0,2596528577.55,2509.56,-1.7,19.6,31.4,1694.0,17.7,65.6,16.7,568.97,65.01,,336.06,18580.0,29043.0,29014.0
KUJAWSKO-POMORSKIE,471427.0,110256.0,110256.0,14693.0,115.0,5906969154.95,2858.55,-3.5,23.2,29.8,3606.0,20.0,64.7,15.3,492.54,77.6,,274.61,19657.0,28965.0,58966.0
POMORSKIE,457373.0,67771.0,67771.0,15999.0,121.0,6945343906.3,3135.45,-0.5,20.5,32.4,4096.0,20.6,64.6,14.8,624.21,120.95,,273.23,20691.0,32259.0,75171.0
WARMIŃSKO-MAZURSKIE,302052.0,87420.0,87420.0,10009.0,59.0,3936108287.13,2759.47,-3.1,26.4,29.1,2805.0,20.8,65.0,14.1,524.1,84.59,,277.7,18384.0,24886.0,39364.0
ŁÓDZKIE,658366.0,99191.0,99191.0,16287.0,140.0,6984395875.4,2737.23,-0.1,20.8,33.0,4298.0,17.8,63.9,18.2,542.98,75.11,,308.6,21378.0,31324.0,71363.0
ŚWIĘTOKRZYSKIE,317174.0,77716.0,77716.0,8575.0,109.0,3177226667.85,2494.63,-0.4,22.0,30.6,1259.0,19.0,63.4,17.7,415.36,82.52,,295.03,18835.0,27762.0,34606.0
LUBELSKIE,552021.0,101561.0,101561.0,14812.0,86.0,5316858852.01,2457.6,,21.2,31.9,1939.0,20.0,62.9,17.1,411.4,69.9,,290.32,17776.0,23956.0,50032.0
PODKARPACKIE,481789.0,115567.0,115567.0,13878.0,118.0,5377357686.6,2563.97,-1.5,21.1,32.8,2290.0,21.0,63.5,15.5,410.27,41.0,,273.34,16608.0,24191.0,38043.0
PODLASKIE,276065.0,45821.0,45821.0,7842.0,59.0,3147025718.78,2640.29,0.2,24.3,33.7,1837.0,19.7,63.1,17.2,427.16,64.42,,268.85,17517.0,24599.0,25498.0
MAZOWIECKIE,1174108.0,178028.0,178028.0,33975.0,146.0,19773801327.14,3806.31,6.8,17.0,34.3,9165.0,18.8,63.8,17.4,772.59,141.32,,299.73,24058.0,51600.0,136522.0
