jednostka,emeryci_i_rencisci,bezrobocie_zarejsestrowane,bezrobocie_zarejsestrowane_gminy,malzenstwa_zawarte,ludnosc_na_1km2,dochody_gminy,dochody_na_mieszkanca,wyksztalcenie_wyzsze,wyksztalcenie_gim_pod_nizsze,wyksztalcenie_srednie,rozwody_powiat,udzial_wiek_przedprodukcyjny,udzial_wiek_produkcyjny,udzial_wiek_poprodukcyjny,praca_najemna,praca_wlasny_rachunek,socjal_500plus,socjal,dochody_brutto_na_mieszkanca,PKB_na_1_mieszkanca,przestepstwa_ogolem
MAŁOPOLSKIE,768948.0,193579.0,193579.0,16871.0,215.0,5752538520.0,1767.0,0.2,21.2,30.9,3431.0,22.4,62.2,15.3,331.23,64.02,,250.78,15203.0,21648.0,126953.0
ŚLĄSKIE,1148448.0,309704.0,309704.0,23631.0,381.0,9315618307.0,1979.0,-0.6,19.8,32.2,8079.0,19.5,65.1,15.5,345.66,46.51,,308.99,17730.0,27251.0,202189.0
LUBUSKIE,228222.0,99389.0,99389.0,4445.0,72.0,1796089297.0,1780.0,-1.0,22.7,30.5,1968.0,21.7,64.8,13.5,267.73,53.83,,290.91,15292.0,21666.0,42234.0
WIELKOPOLSKIE,768409.0,232251.0,232251.0,16970.0,113.0,6082089658.0,1809.0,-1.5,21.5,30.2,4321.0,22.2,64.1,13.7,328.58,56.28,,239.95,17198.0,26154.0,117417.0
ZACHODNIOPOMORSKIE,361608.0,182692.0,182692.0,7402.0,74.0,3179133626.0,1875.0,0.1,25.7,30.4,3510.0,21.1,65.1,13.9,334.29,75.39,,282.28,16440.0,22038.0,67096.0
DOLNOŚLĄSKIE,674851.0,257129.0,257129.0,13703.0,145.0,5743208932.0,1983.0,0.3,22.0,33.3,6257.0,19.5,65.1,15.4,316.52,58.69,,290.46,16695.0,24726.0,129965.0
OPOLSKIE,214176.0,74553.0,74553.0,4618.0,112.0,1720778777.0,1633.0,-2.0,23.2,28.7,1538.0,20.3,64.1,15.6,307.8,48.23,,287.97,14104.0,20870.0,37256.0
KUJAWSKO-POMORSKIE,466143.0,199566.0,199566.0,10357.0,115.0,3737932389.0,1808.0,-2.4,24.9,27.8,3463.0,21.9,63.8,14.3,278.52,38.43,,245.56,15284.0,21519.0,81017.0
POMORSKIE,447179.0,179658.0,179658.0,10953.0,120.0,4468653946.0,2038.0,0.2,22.2,32.2,3106.0,22.3,63.9,13.8,360.41,83.77,,234.6,15731.0,23994.0,110587.0
WARMIŃSKO-MAZURSKIE,299278.0,162361.0,162361.0,7175.0,59.0,2566332324.0,1797.0,-1.8,29.3,29.0,2667.0,23.2,63.5,13.3,263.99,60.42,,232.26,14267.0,18490.0,53476.0
ŁÓDZKIE,667356.0,218281.0,218281.0,13011.0,142.0,4583985036.0,1768.0,-0.3,24.3,32.0,4446.0,19.3,63.5,17.2,342.76,34.89,,267.1,16469.0,22463.0,93025.0
ŚWIĘTOKRZYSKIE,321934.0,126322.0,126322.0,6865.0,110.0,2076577459.0,1610.0,0.3,23.7,31.0,227.0,21.2,61.9,16.9,245.73,44.26,,230.91,14427.0,19445.0,42462.0
LUBELSKIE,572526.0,164752.0,164752.0,11947.0,87.0,3577931904.0,1635.0,0.4,24.9,30.9,1910.0,22.2,61.4,16.4,256.22,53.29,,246.42,13813.0,17302.0,64136.0
PODKARPACKIE,492628.0,170293.0,170293.0,11177.0,118.0,3434526869.0,1638.0,-2.2,25.4,30.6,2218.0,23.9,61.4,14.7,255.98,31.54,,245.5,12997.0,17756.0,48360.0
PODLASKIE,282145.0,76125.0,76125.0,6128.0,60.0,2055784361.0,1707.0,-0.1,27.9,30.4,1912.0,22.4,61.1,16.5,258.0,60.65,,214.03,13829.0,18019.0,36444.0
MAZOWIECKIE,1166887.0,352946.0,352946.0,26571.0,145.0,11971122560.0,2329.0,4.6,20.7,34.6,7189.0,20.1,63.1,16.7,493.09,93.34,,254.44,19620.0,36949.0,208600.0
