,SLD,Komitet Wyborczy - Akcja Wyborcza Solidarność Prawicy,UW,Samoobrona,PiS,PSL,PO,Komitet Wyborczy Alternatywa Ruch Społeczny,Komitet Wyborczy Polskiej Wspólnoty Narodowej,LPR,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Komitet Wyborczy Polskiej Unii Gospodarczej,Komitet Wyborczy Polskiej Partii Socjalistycznej,"Komitet Wyborczy Wyborców ""Niemiecka Mniejszość Górnego Śląska"""
Sopot,5024,800,820,417,4284,178,6312,44,,1060.0,,,,
Powiat starogardzki,14357,2227,600,4316,4552,2526,6845,107,,2414.0,,,,
Powiat malborski,15537,1114,1159,3436,2877,2198,3842,72,,1107.0,,,,
Powiat kwidzyński,10781,1067,365,1979,1827,849,4026,48,,1208.0,,,,
Gdańsk,54548,8276,5646,6093,36787,2221,57804,395,,12049.0,,,,
Powiat tczewski,13122,2709,866,3326,3775,1685,7389,92,,1867.0,,,,
Powiat nowodworski,4054,290,257,1628,818,1369,1423,23,,397.0,,,,
Gdynia,35554,3844,2907,4158,14881,1442,31508,365,,7010.0,,,,
Powiat człuchowski,9255,488,653,2525,542,2664,1416,47,,633.0,,,,
Powiat bytowski,8468,1157,679,3052,882,2120,4595,60,,1297.0,,,,
Słupsk,18096,1971,997,2626,2644,1166,4367,70,,2595.0,,,,
Powiat słupski,12645,985,517,3230,1062,2658,2427,71,,1149.0,,,,
Powiat lęborski,9560,793,598,2073,1290,863,3192,59,,2101.0,,,,
Powiat kartuski,5837,1318,471,5835,3214,1690,11023,109,,3644.0,,,,
Powiat wejherowski,16047,2447,1378,4514,5766,2340,18278,201,,5228.0,,,,
Powiat chojnicki,12357,1643,620,3189,2409,1922,4122,94,,3051.0,,,,
Powiat pucki,6511,884,526,1707,1501,924,9261,89,,1518.0,,,,
Powiat kościerski,5891,892,1002,2571,1617,1319,5746,56,,2081.0,,,,
Powiat wieluński,11067,841,360,6037,1369,5016,2549,125,,1683.0,,,85.0,
Powiat pajęczański,6714,526,200,4560,815,2914,891,66,,782.0,,,39.0,
Powiat kutnowski,16794,1138,659,7002,1974,5527,2079,327,,1879.0,,,142.0,
Powiat łowicki,9977,1043,318,4465,1406,8145,1774,85,,1948.0,,,68.0,
Powiat poddębicki,5076,405,162,3263,495,3313,701,74,,714.0,,,49.0,
Powiat łęczycki,6550,628,222,5208,596,2772,1197,65,,1016.0,,,94.0,
Powiat sieradzki,16462,1650,625,8889,1994,6737,2467,164,,4245.0,,,135.0,
Powiat zduńskowolski,11471,1280,580,3280,1535,1735,2014,100,,2083.0,,,71.0,
Powiat łaski,6361,537,203,2942,1036,2290,1255,86,,1275.0,,,55.0,
Powiat pabianicki,18660,1480,934,4632,3765,2266,5529,124,,4562.0,,,218.0,
Powiat wieruszowski,6021,633,206,2736,595,3515,816,58,,1167.0,,,30.0,
Powiat zgierski,24463,2949,944,7390,4037,2946,5395,160,,4178.0,,,144.0,
ŁódĽ,163974,17443,10306,17684,31144,4055,37530,682,275.0,21094.0,,,570.0,
Powiat łódzki wschodni,10949,1667,477,4739,1972,3815,3037,98,53.0,3515.0,,,78.0,
Skierniewice,8674,589,376,1313,1478,1269,1915,79,10.0,1241.0,,,16.0,
Powiat skierniewicki,3029,331,116,3100,527,4145,477,33,13.0,790.0,,,28.0,
Powiat bełchatowski,14593,1325,730,6805,2512,2758,3637,253,32.0,2673.0,,,123.0,
Powiat piotrkowski,7865,938,258,6615,1107,5840,2020,96,39.0,2609.0,,,154.0,
Powiat rawski,5152,418,223,3283,748,4918,702,39,19.0,813.0,,,28.0,
Powiat opoczyński,8835,1607,288,4244,950,6012,1616,71,37.0,2699.0,,,61.0,
Powiat tomaszowski,16005,2834,844,5607,2673,5256,3789,138,49.0,2808.0,,,208.0,
Powiat radomszczański,18769,2398,551,5420,3151,4938,2511,111,53.0,1897.0,,,260.0,
Piotrków Trybunalski,14035,1282,594,2445,2283,1264,3675,131,16.0,2753.0,,,163.0,
Powiat dębicki,16516,2684,870,4554,3865,6866,3001,183,,6270.0,,,,
Powiat mielecki,14347,3179,615,5224,2609,7281,4192,123,,6483.0,,,,
Powiat stalowowolski,14580,3768,469,3092,4333,2514,3260,207,,5487.0,,,,
Powiat łańcucki,5637,3310,211,2791,2433,5655,1698,142,,6603.0,,,,
Powiat niżański,6253,1646,172,2663,1712,2235,1432,116,,3459.0,,,,
Powiat ropczycko-sędziszowski,3887,2717,185,2714,1253,8126,1875,347,,3942.0,,,,
Powiat kolbuszowski,3961,4228,181,2654,822,3418,1214,277,,2429.0,,,,
Powiat tarnobrzeski,7113,1134,172,1918,963,2616,1081,111,,2210.0,,,,
Tarnobrzeg,9542,941,351,1260,1301,1249,1662,88,,1718.0,,,,
Rzeszów,27087,5242,1561,2879,8997,2855,8584,254,,8836.0,,,,
Powiat leżajski,4914,5900,218,2838,1274,3432,1226,77,,4737.0,,,,
Powiat strzyżowski,4943,1486,230,2829,1415,4114,2360,175,,2800.0,,,,
Powiat rzeszowski,13906,5863,570,7706,4805,8262,6098,361,,12149.0,,,,
Powiat jasielski,12275,6790,538,6169,2632,5107,3082,143,,4486.0,,,,
Powiat przeworski,7328,2722,301,2860,1436,8572,1389,92,,3629.0,,,,
Przemyśl,9834,2568,979,1482,2705,1584,1827,67,,3396.0,,,,
Powiat jarosławski,11586,4112,611,5054,4311,9778,2718,278,,4379.0,,,,
Powiat krośnieński,10915,3677,465,5675,3075,4266,3102,172,,6275.0,,,,
Powiat przemyski,5758,2039,433,3394,1206,4548,967,117,,2544.0,,,,
Powiat bieszczadzki,6343,1149,307,1624,1788,1321,1414,68,,984.0,,,,
Krosno,7645,1374,573,1536,2257,872,1990,127,,2750.0,,,,
Powiat brzozowski,5008,2505,206,3248,2269,2496,1241,118,,2894.0,,,,
Powiat sanocki,12046,2325,592,3651,2229,2931,2584,178,,2957.0,,,,
Powiat lubaczowski,5890,1544,238,2026,2386,6107,696,78,,1283.0,,,,
Powiat białostocki,13543,2709,713,5783,6090,4013,3467,102,,7031.0,,156.0,52.0,
Powiat siemiatycki,6776,799,177,2600,981,2431,1035,31,,1237.0,,33.0,30.0,
Łomża,7999,1092,443,1668,2997,1245,2002,63,,2684.0,,51.0,11.0,
Powiat kolneński,2856,463,107,1938,703,3763,599,25,,1486.0,,51.0,20.0,
Powiat sejneński,4474,86,68,829,331,576,254,8,,381.0,,9.0,5.0,
Powiat sokólski,6993,1173,440,4059,2082,3453,1676,50,,3000.0,,70.0,23.0,
Powiat hajnowski,14259,295,286,1396,417,711,708,46,,461.0,,15.0,135.0,
Powiat augustowski,5632,1084,410,2460,1676,2673,1384,46,,1848.0,,41.0,11.0,
Powiat zambrowski,4239,418,126,2228,1721,2837,827,16,,1626.0,,27.0,13.0,
Powiat grajewski,4191,313,232,1754,1448,4145,673,31,,1598.0,,45.0,23.0,
Powiat łomżyński,2383,650,125,3219,1279,4117,543,64,,2478.0,,62.0,18.0,
Powiat suwalski,2849,259,107,2806,680,1859,607,24,,794.0,,31.0,5.0,
Powiat bielski,10742,1133,313,3067,2029,1457,1508,18,,2344.0,,36.0,21.0,
Powiat moniecki,3769,943,146,2954,949,2127,653,37,,1369.0,,44.0,17.0,
Powiat wysokomazowiecki,4208,3716,181,3882,1929,3997,2079,20,,2395.0,,62.0,20.0,
Białystok,45440,3534,3102,5590,17446,3228,13000,173,,14316.0,,325.0,73.0,
Suwałki,10406,783,462,1642,3004,956,2463,91,,1831.0,,44.0,12.0,
