,Komitet Wyborczy Polska Partia Pracy,Komitet Wyborczy Liga Polskich Rodzin,Komitet Wyborczy Prawo i Sprawiedliwość,Komitet Wyborczy Platforma Obywatelska RP,Komitet Wyborczy Polskiego Stronnictwa Ludowego,Komitet Wyborczy Samoobrona Rzeczpospolitej Polskiej,"Komitet Wyborczy Wyborców ""Mniejszość Niemiecka""",Koalicyjny Komitet Wyborczy Lewica i Demokraci SLD+SDPL+PD+UP,Komitet Wyborczy Partii Kobiet,Komitet Wyborczy Samoobrona Patriotyczna
gnieźnieński,811,746,15197,22862,4995,997,,14915,,
Konin,489,368,11290,15969,2323,393,,6946,,
kolski,494,348,10609,7424,7443,1057,,3970,,
wrzesiński,470,686,7532,11780,4561,693,,4553,,
słupecki,351,215,5610,5410,5830,575,,3370,,
lubliniecki,339,383,10818,12401,1486,951,,2858,,
kłobucki,417,388,10234,9573,5902,580,,4043,,
myszkowski,365,312,8693,10230,2572,595,,4321,,
częstochowski,827,777,15243,15949,9941,1019,,6652,,
Częstochowa,1531,2108,33988,54453,5145,767,,19867,,
będziński,1069,980,16167,31419,3611,749,,14069,,
Jaworzno,551,426,11415,21480,3200,296,,5937,,
Dąbrowa Górnicza,1013,644,14270,27471,1874,468,,12196,,
zawierciański,833,507,13786,18349,4423,684,,12097,,
Sosnowiec,1602,1220,25722,47036,3273,821,,26079,,
nowotomyski,282,307,6031,12527,4490,532,,3878,,
złotowski,212,233,5904,10374,3074,815,,4677,,
międzychodzki,147,124,2521,5499,1773,231,,3164,,
grodziski,194,208,4134,6328,3224,443,,2987,,
chodzieski,178,168,3696,8333,2803,331,,3851,,
pilski,484,490,13661,26403,4968,1057,,10917,,
wągrowiecki,204,226,5118,8337,3550,822,,7287,,
obornicki,210,176,4489,9204,3681,367,,4314,,
szamotulski,352,423,7007,15694,3819,644,,6907,,
wolsztyński,177,185,4253,7610,3216,375,,5489,,
czarnkowsko-trzcianecki,316,349,8056,14727,3108,735,,5489,,
nowodworski,121,126,2905,5622,1562,837,,1460,,
kwidzyński,303,389,7027,14652,1357,521,,4337,,
malborski,264,305,5717,11270,2876,646,,3764,,
Sopot,100,284,6082,14350,381,78,,2079,,
gdański,324,459,9638,20681,2536,371,,3231,,
m,0,5,38,96,6,0,,8,,
starogardzki,550,637,15755,18961,3007,904,,5360,,
Gdańsk,1497,3392,64862,145383,4825,1076,,22693,,
tczewski,483,561,12453,20686,2765,809,,5063,,
sztumski,162,193,3482,6372,1361,380,,2024,,
strzyżowski,227,483,11067,4560,4253,310,,1103,,
rzeszowski,633,1361,38306,16016,8206,797,,3854,,
dębicki,505,1005,27484,12913,5506,693,,4214,,
leżajski,206,428,14098,7275,2890,346,,1157,,
mielecki,446,794,23925,14926,7945,665,,4193,,
tarnobrzeski,188,297,8407,6585,1942,221,,2259,,
łańcucki,237,786,18164,7265,3761,388,,1503,,
stalowowolski,357,769,19023,13480,2337,446,,4961,,
ropczycko-sędziszowski,297,400,15968,3712,5683,340,,1295,,
Tarnobrzeg,197,357,7045,7879,1190,146,,4107,,
niżański,243,563,11271,4367,3127,327,,2404,,
Rzeszów,660,1136,29102,33970,5768,430,,11080,,
kolbuszowski,159,683,14117,3722,2235,226,,991,,
oświęcimski,709,739,24977,26391,7430,551,,9369,,
myślenicki,348,1224,23823,13357,4659,356,,2348,,
wadowicki,633,874,27019,22919,5428,755,,5811,,
chrzanowski,635,775,17761,24472,2872,596,,9477,,
Suski,291,452,14568,10378,3725,327,,1627,,
działdowski,264,464,6126,7745,3155,563,,3369,,
braniewski,186,186,3109,5852,2537,376,,2636,,
bartoszycki,244,253,3999,10099,2176,1950,,3202,,
lidzbarski,190,190,3420,7098,1633,465,,1877,,
nowomiejski,183,215,3892,4064,4094,806,,1330,,
Elbląg,481,672,14573,27537,2143,575,,10142,,
elbląski,256,291,4409,7299,2094,590,,2525,,
ostródzki,445,514,8142,16485,3840,763,,6637,,
iławski,390,435,8278,13767,4654,841,,3866,,
ełcki,256,421,8255,11899,2238,515,,4060,,
nidzicki,127,295,3241,3916,1405,233,,1751,,
piski,187,255,5734,6291,4432,347,,2272,,
szczycieński,239,297,6078,8798,4977,594,,3140,,
węgorzewski,94,120,1692,3470,960,297,,1440,,
giżycki,230,292,4624,9548,3186,356,,2794,,
olsztyński,448,434,9057,19676,4407,1059,,5184,,
kętrzyński,224,214,4769,9100,4938,377,,3304,,
olecki,121,225,3083,3820,1814,235,,1439,,
gołdapski,77,92,1755,3607,1744,160,,1111,,
Olsztyn,551,1007,19541,46687,5035,666,,13379,,
mrągowski,186,246,4430,8595,2608,254,,2216,,
brzeski,309,788,16989,10608,3983,369,,1882,,
dąbrowski,138,240,10635,5437,2835,343,,904,,
proszowicki,125,171,5008,2427,4773,432,,1078,,
wielicki,450,546,17555,18670,3383,356,,2778,,
bocheński,375,773,20052,12309,4489,474,,2874,,
Tarnów,376,926,19627,23850,2329,323,,7268,,
tarnowski,680,955,38525,17337,9807,937,,3825,,
kamieński,202,244,3878,8900,1236,380,,3186,,
pyrzycki,189,216,3623,5269,1570,543,,2220,,
myśliborski,272,319,5712,10874,2165,555,,3923,,
stargardzki,465,661,11350,21768,3375,851,,8311,,
gryfiński,296,597,8128,13009,2173,798,,4211,,
goleniowski,366,427,5956,14399,3370,672,,4533,,
m,0,1,14,19,4,2,,9,,
policki,215,247,6227,15667,1049,276,,4079,,
Świnoujście,122,209,4358,9163,752,139,,4237,,
gryficki,220,256,4166,10743,3067,553,,3296,,
łobeski,162,205,2639,5071,1308,467,,2452,,
Szczecin,1522,2452,49472,99970,6770,1914,,34143,,
Jastrzębie-Zdrój,423,371,16595,14058,1415,316,,7811,,
rybnicki,436,296,12471,11819,1314,344,,2836,,
Żory,328,243,9771,11008,1055,304,,3808,,
Rybnik,971,570,21378,28055,2296,532,,6915,,
mikołowski,421,480,14921,20693,1988,334,,3190,,
raciborski,432,493,9569,22796,1203,364,,3610,,
wodzisławski,894,592,25043,26516,2800,697,,8139,,
siemiatycki,157,144,6942,4256,1884,425,,2881,86.0,
Łomża,130,489,10403,8734,1035,213,,3666,220.0,
sejneński,43,66,1683,1807,1558,294,,963,56.0,
wysokomazowiecki,117,547,14755,4096,2536,463,,1351,119.0,
bielski,153,284,9326,5654,1192,562,,6315,153.0,
suwalski,60,173,4302,2290,2592,499,,1014,83.0,
kolneński,88,283,5519,2001,3049,903,,579,59.0,
augustowski,117,244,7603,7907,2721,684,,1515,137.0,
sokólski,169,256,9608,6425,3890,654,,2542,214.0,
moniecki,105,278,5775,3130,2558,572,,853,98.0,
białostocki,386,792,23589,16596,4067,852,,6454,548.0,
zambrowski,104,405,8141,4166,2154,349,,1335,73.0,
hajnowski,178,170,1954,5101,2831,528,,7389,141.0,
łomżyński,117,313,10261,2345,1945,729,,793,116.0,
grajewski,138,273,7007,3819,2660,408,,1079,129.0,
Białystok,618,1675,43372,60696,3828,894,,23944,1589.0,
Suwałki,155,242,8748,10206,1658,274,,5218,321.0,
ostrowski,165,364,14136,4871,5104,488,,2112,,
pułtuski,143,169,7551,3520,5959,379,,1251,,
siedlecki,184,541,13382,4075,7609,1219,,1768,,
łosicki,85,185,4709,1942,3525,444,,1061,,
sokołowski,184,544,10254,4330,6547,590,,1424,,
makowski,143,258,6877,3223,4198,454,,1588,,
Ostrołęka,190,388,10137,7963,2023,279,,2352,,
miński,506,961,22478,23410,7994,795,,4429,,
wyszkowski,190,392,11834,6538,6373,435,,1646,,
garwoliński,332,653,19157,9163,6024,1269,,4644,,
ostrołęcki,221,576,12901,4757,6169,1051,,1198,,
węgrowski,225,720,11860,5410,4571,982,,2034,,
Siedlce,276,804,12785,12199,3709,301,,5283,,
strzeliński,244,193,5637,7552,1262,344,,1534,,
oleśnicki,419,399,11695,17839,3716,922,,4855,,
oławski,296,371,9905,14008,2105,424,,3052,,
średzki,215,244,5284,7918,1344,311,,2155,,
trzebnicki,307,315,9262,13142,2930,556,,2761,,
wrocławski,350,565,13819,21203,3175,797,,3444,,
górowski,154,166,3092,4543,1915,434,,1359,,
wołowski,229,268,5343,9656,1055,356,,2310,,
milicki,169,296,3550,5336,2337,360,,1861,,
Wrocław,2312,3832,90382,194683,7094,1708,,34464,,
