jednostka,Blue,Red,Gray
Biała Podlaska,11759.0,12560.0,1178.0
Białystok,47200.0,84640.0,4776.0
Bielsko-Biała,31303.0,54828.0,2829.0
Bydgoszcz,51793.0,123320.0,4470.0
Bytom,24147.0,44346.0,2020.0
Chełm,11210.0,16492.0,1027.0
Chorzów,13310.0,33256.0,1682.0
Częstochowa,39133.0,74320.0,4406.0
Dąbrowa Górnicza,16144.0,39667.0,2125.0
Elbląg,16716.0,37679.0,1728.0
Gdańsk,69687.0,168076.0,5965.0
Gdynia,35687.0,96043.0,3034.0
Gliwice,27275.0,60230.0,2225.0
Gorzów Wielkopolski,16890.0,36936.0,1758.0
Grudziądz,10658.0,28632.0,1192.0
Jastrzębie-Zdrój,18010.0,21869.0,1110.0
Jaworzno,14615.0,27417.0,1273.0
Jelenia Góra,11049.0,28516.0,1088.0
Kalisz,15895.0,32605.0,1421.0
Katowice,48976.0,103038.0,5226.0
Kielce,41186.0,57820.0,3776.0
Konin,13613.0,22915.0,1250.0
Koszalin,13313.0,36318.0,2505.0
Kraków,133948.0,245990.0,15908.0
Krosno,8819.0,12195.0,669.0
Legnica,14817.0,29264.0,1416.0
Leszno,6813.0,22449.0,1059.0
Lublin,71564.0,94466.0,8011.0
Mysłowice,12608.0,20266.0,1081.0
Nowy Sącz,19322.0,19958.0,952.0
Olsztyn,24576.0,60066.0,2224.0
Opole,13077.0,44294.0,2962.0
Ostrołęka,12160.0,10315.0,857.0
Piekary Śląskie,11460.0,13011.0,640.0
Piotrków Trybunalski,14646.0,20509.0,1230.0
Polska,6621115.0,8823991.0,697096.0
Poznań,77059.0,223854.0,6335.0
Przemyśl,11651.0,17001.0,808.0
Płock,24110.0,33139.0,1303.0
Radom,48080.0,52844.0,3339.0
Ruda Śląska,24127.0,34701.0,1788.0
Rybnik,23674.0,34970.0,2073.0
Rzeszów,34870.0,45050.0,2226.0
Siedlce,16494.0,17482.0,1381.0
Siemianowice Śląskie,9385.0,21029.0,1019.0
Skierniewice,8678.0,13227.0,733.0
Sopot,6463.0,16429.0,462.0
Sosnowiec,28995.0,73115.0,3643.0
Suski,18293.0,12005.0,1070.0
Suwałki,10406.0,15424.0,992.0
Szczecin,56242.0,134113.0,5888.0
Słupsk,12236.0,31287.0,1520.0
Tarnobrzeg,8235.0,11986.0,700.0
Tarnów,21956.0,31118.0,1625.0
Toruń,29687.0,65763.0,2058.0
Tychy,23543.0,38555.0,1796.0
Warszawa,298253.0,667039.0,33937.0
Wrocław,97476.0,229147.0,7852.0
Włocławek,15912.0,34999.0,1469.0
Zabrze,21122.0,44505.0,1987.0
Zamość,13849.0,13716.0,1195.0
Zielona Góra,15780.0,41904.0,1783.0
aleksandrowski,8941.0,11427.0,1150.0
augustowski,10324.0,9422.0,1182.0
bartoszycki,6175.0,13301.0,2447.0
bełchatowski,25637.0,17949.0,2238.0
bialski,25782.0,11947.0,2482.0
białobrzeski,7821.0,3096.0,847.0
białogardzki,4799.0,10601.0,1010.0
białostocki,27656.0,23050.0,2578.0
bielski,41057.0,49331.0,3407.0
bieruńsko-lędziński,12066.0,11195.0,770.0
bieszczadzki,3146.0,3917.0,328.0
biłgorajski,23153.0,12176.0,3447.0
bocheński,24541.0,15183.0,1622.0
bolesławiecki,11482.0,21276.0,1322.0
braniewski,5646.0,8488.0,748.0
brodnicki,13260.0,11346.0,1238.0
brzeski,35444.0,31217.0,3379.0
brzeziński,6844.0,4560.0,694.0
brzozowski,15134.0,5623.0,1163.0
buski,17257.0,9072.0,1267.0
bydgoski,12249.0,23634.0,1687.0
bytowski,10018.0,14998.0,1414.0
będziński,19778.0,45488.0,2798.0
chełmiński,6642.0,9814.0,928.0
chełmski,13178.0,8005.0,1973.0
chodzieski,6499.0,12184.0,677.0
chojnicki,13625.0,20996.0,1815.0
choszczeński,6389.0,8636.0,1358.0
chrzanowski,20633.0,33949.0,2006.0
ciechanowski,17981.0,14423.0,1423.0
cieszyński,27083.0,47079.0,2683.0
czarnkowsko-trzcianecki,11164.0,20216.0,1400.0
częstochowski,25184.0,22601.0,2623.0
człuchowski,5781.0,14101.0,1120.0
drawski,6289.0,12730.0,1697.0
działdowski,9281.0,11114.0,1291.0
dzierżoniowski,13637.0,26825.0,1705.0
dąbrowski,13470.0,6341.0,721.0
dębicki,32990.0,17127.0,2203.0
elbląski,6503.0,9824.0,1137.0
ełcki,10493.0,15959.0,1192.0
garwoliński,25181.0,13807.0,2254.0
gdański,12174.0,23912.0,1154.0
