jednostka,Blue,Red,Gray
biłgorajski,124084.0,183696.0,10149.0
bocheński,112982.0,133401.0,11567.0
bolesławiecki,95277.0,240392.0,8499.0
braniewski,45403.0,144524.0,5733.0
brodnicki,91049.0,247118.0,13498.0
brzeski,178721.0,348500.0,50395.0
brzeziński,90558.0,255773.0,15932.0
brzozowski,133320.0,152556.0,12154.0
buski,138039.0,275933.0,18932.0
bydgoski,80632.0,271895.0,15097.0
bytowski,113647.0,325184.0,14997.0
będziński,59453.0,210775.0,10092.0
chełmiński,91049.0,247118.0,13498.0
chełmski,124084.0,183696.0,10149.0
chodzieski,50023.0,202689.0,7241.0
chojnicki,113647.0,325184.0,14997.0
choszczeński,45558.0,164318.0,5157.0
chrzanowski,91220.0,137319.0,10830.0
ciechanowski,93307.0,174362.0,8841.0
cieszyński,98152.0,201833.0,11470.0
czarnkowsko-trzcianecki,50023.0,202689.0,7241.0
częstochowski,61429.0,151784.0,11284.0
człuchowski,113647.0,325184.0,14997.0
drawski,45558.0,164318.0,5157.0
działdowski,45403.0,144524.0,5733.0
dzierżoniowski,54271.0,165230.0,6023.0
dąbrowski,112982.0,133401.0,11567.0
dębicki,219629.0,216070.0,21622.0
elbląski,45403.0,144524.0,5733.0
ełcki,59996.0,191377.0,8659.0
garwoliński,139926.0,186225.0,16153.0
gdański,102131.0,301576.0,11619.0
giżycki,59996.0,191377.0,8659.0
gliwicki,65724.0,206552.0,8912.0
gnieźnieński,71795.0,177972.0,12153.0
goleniowski,82529.0,281945.0,16546.0
golubsko-dobrzyński,91049.0,247118.0,13498.0
gorlicki,143543.0,121968.0,13335.0
gorzowski,72302.0,247803.0,12551.0
gostyniński,93307.0,174362.0,8841.0
gostyński,82114.0,243491.0,13194.0
gołdapski,59996.0,191377.0,8659.0
grajewski,158572.0,249562.0,20589.0
grodziski,195916.0,479097.0,34824.0
grudziądzki,91049.0,247118.0,13498.0
gryficki,82529.0,281945.0,16546.0
gryfiński,82529.0,281945.0,16546.0
grójecki,103798.0,145721.0,9016.0
górowski,127311.0,347195.0,22001.0
głogowski,95277.0,240392.0,8499.0
głubczycki,65739.0,215099.0,38828.0
hajnowski,158572.0,249562.0,20589.0
hrubieszowski,124084.0,183696.0,10149.0
inowrocławski,80632.0,271895.0,15097.0
iławski,45403.0,144524.0,5733.0
janowski,177543.0,257796.0,24816.0
jarociński,82114.0,243491.0,13194.0
jarosławski,133320.0,152556.0,12154.0
jasielski,133320.0,152556.0,12154.0
jaworski,95277.0,240392.0,8499.0
jeleniogórski,95277.0,240392.0,8499.0
jędrzejowski,138039.0,275933.0,18932.0
kaliski,82114.0,243491.0,13194.0
kamiennogórski,95277.0,240392.0,8499.0
kamieński,82529.0,281945.0,16546.0
kartuski,113647.0,325184.0,14997.0
kazimierski,138039.0,275933.0,18932.0
kielecki,138039.0,275933.0,18932.0
kluczborski,65739.0,215099.0,38828.0
kolbuszowski,219629.0,216070.0,21622.0
kolneński,158572.0,249562.0,20589.0
kolski,71795.0,177972.0,12153.0
konecki,138039.0,275933.0,18932.0
koniński,71795.0,177972.0,12153.0
koszaliński,45558.0,164318.0,5157.0
kozienicki,103798.0,145721.0,9016.0
kołobrzeski,45558.0,164318.0,5157.0
kościański,82114.0,243491.0,13194.0
kościerski,113647.0,325184.0,14997.0
krakowski,156800.0,320072.0,29708.0
krapkowicki,65739.0,215099.0,38828.0
krasnostawski,124084.0,183696.0,10149.0
kraśnicki,177543.0,257796.0,24816.0
krotoszyński,82114.0,243491.0,13194.0
krośnieński,205622.0,400359.0,24705.0
kutnowski,109205.0,214828.0,15867.0
kwidzyński,102131.0,301576.0,11619.0
kędzierzyńsko-kozielski,65739.0,215099.0,38828.0
kępiński,82114.0,243491.0,13194.0
kętrzyński,59996.0,191377.0,8659.0
kłobucki,61429.0,151784.0,11284.0
kłodzki,54271.0,165230.0,6023.0
legionowski,145893.0,276408.0,27583.0
legnicki,95277.0,240392.0,8499.0
leski,133320.0,152556.0,12154.0
leszczyński,82114.0,243491.0,13194.0
leżajski,219629.0,216070.0,21622.0
lidzbarski,45403.0,144524.0,5733.0
limanowski,143543.0,121968.0,13335.0
lipnowski,91049.0,247118.0,13498.0
lipski,103798.0,145721.0,9016.0
lubaczowski,133320.0,152556.0,12154.0
lubartowski,177543.0,257796.0,24816.0
lubański,95277.0,240392.0,8499.0
lubelski,177543.0,257796.0,24816.0
lubiński,95277.0,240392.0,8499.0
lubliniecki,61429.0,151784.0,11284.0
lwówecki,95277.0,240392.0,8499.0
lęborski,113647.0,325184.0,14997.0
makowski,139926.0,186225.0,16153.0
malborski,102131.0,301576.0,11619.0
miechowski ,156800.0,320072.0,29708.0
mielecki,219629.0,216070.0,21622.0
mikołowski,75504.0,172442.0,16102.0
milicki,127311.0,347195.0,22001.0
międzychodzki,50023.0,202689.0,7241.0
międzyrzecki,72302.0,247803.0,12551.0
miński,139926.0,186225.0,16153.0
mogileński,80632.0,271895.0,15097.0
moniecki,158572.0,249562.0,20589.0
mrągowski,59996.0,191377.0,8659.0
myszkowski,61429.0,151784.0,11284.0
myślenicki,91220.0,137319.0,10830.0
myśliborski,82529.0,281945.0,16546.0
mławski,93307.0,174362.0,8841.0
nakielski,80632.0,271895.0,15097.0
namysłowski,65739.0,215099.0,38828.0
nidzicki,59996.0,191377.0,8659.0
niżański,219629.0,216070.0,21622.0
nowodworski,248024.0,577984.0,39202.0
nowomiejski,45403.0,144524.0,5733.0
nowosolski,72302.0,247803.0,12551.0
nowosądecki,143543.0,121968.0,13335.0
nowotarski,143543.0,121968.0,13335.0
nowotomyski,50023.0,202689.0,7241.0
nyski,65739.0,215099.0,38828.0
obornicki,50023.0,202689.0,7241.0
olecki,59996.0,191377.0,8659.0
oleski,65739.0,215099.0,38828.0
oleśnicki,127311.0,347195.0,22001.0
olkuski,156800.0,320072.0,29708.0
olsztyński,59996.0,191377.0,8659.0
opatowski,138039.0,275933.0,18932.0
opoczyński,103472.0,148676.0,8987.0
opolski,243282.0,472895.0,63644.0
ostrowiecki,138039.0,275933.0,18932.0
ostrowski,222040.0,429716.0,29347.0
ostrołęcki,139926.0,186225.0,16153.0
ostrzeszowski,82114.0,243491.0,13194.0
ostródzki,45403.0,144524.0,5733.0
otwocki,145893.0,276408.0,27583.0
oławski,127311.0,347195.0,22001.0
oświęcimski,91220.0,137319.0,10830.0
pabianicki,109205.0,214828.0,15867.0
pajęczański,109205.0,214828.0,15867.0
parczewski,124084.0,183696.0,10149.0
piaseczyński,145893.0,276408.0,27583.0
pilski,50023.0,202689.0,7241.0
piotrkowski,103472.0,148676.0,8987.0
piski,59996.0,191377.0,8659.0
pińczowski,138039.0,275933.0,18932.0
pleszewski,82114.0,243491.0,13194.0
poddębicki,109205.0,214828.0,15867.0
policki,82529.0,281945.0,16546.0
polkowicki,95277.0,240392.0,8499.0
poznański,76772.0,312828.0,10397.0
proszowicki,112982.0,133401.0,11567.0
prudnicki,65739.0,215099.0,38828.0
pruszkowski,145893.0,276408.0,27583.0
przasnyski,93307.0,174362.0,8841.0
przemyski,133320.0,152556.0,12154.0
przeworski,133320.0,152556.0,12154.0
przysuski,103798.0,145721.0,9016.0
pszczyński,98152.0,201833.0,11470.0
pucki,113647.0,325184.0,14997.0
puławski,177543.0,257796.0,24816.0
pułtuski,139926.0,186225.0,16153.0
pyrzycki,82529.0,281945.0,16546.0
płocki,93307.0,174362.0,8841.0
płoński,93307.0,174362.0,8841.0
raciborski,75504.0,172442.0,16102.0
radomski,103798.0,145721.0,9016.0
radomszczański,103472.0,148676.0,8987.0
radziejowski,91049.0,247118.0,13498.0
radzyński,124084.0,183696.0,10149.0
rawicki,82114.0,243491.0,13194.0
rawski,103472.0,148676.0,8987.0
ropczycko-sędziszowski,219629.0,216070.0,21622.0
rybnicki,75504.0,172442.0,16102.0
rycki,177543.0,257796.0,24816.0
rypiński,91049.0,247118.0,13498.0
rzeszowski,219629.0,216070.0,21622.0
sandomierski,138039.0,275933.0,18932.0
sanocki,133320.0,152556.0,12154.0
sejneński,158572.0,249562.0,20589.0
siedlecki,139926.0,186225.0,16153.0
siemiatycki,158572.0,249562.0,20589.0
sieradzki,109205.0,214828.0,15867.0
sierpecki,93307.0,174362.0,8841.0
skarżyski,138039.0,275933.0,18932.0
skierniewicki,103472.0,148676.0,8987.0
sochaczewski,93307.0,174362.0,8841.0
sokołowski,139926.0,186225.0,16153.0
sokólski,158572.0,249562.0,20589.0
stalowowolski,219629.0,216070.0,21622.0
starachowicki,138039.0,275933.0,18932.0
stargardzki,82529.0,281945.0,16546.0
starogardzki,102131.0,301576.0,11619.0
staszowski,138039.0,275933.0,18932.0
strzelecki,65739.0,215099.0,38828.0
strzelecko-drezdenecki,72302.0,247803.0,12551.0
strzeliński,127311.0,347195.0,22001.0
strzyżowski,219629.0,216070.0,21622.0
sulęciński,72302.0,247803.0,12551.0
suwalski,158572.0,249562.0,20589.0
szamotulski,50023.0,202689.0,7241.0
szczecinecki,45558.0,164318.0,5157.0
szczycieński,59996.0,191377.0,8659.0
sztumski,102131.0,301576.0,11619.0
szydłowiecki,103798.0,145721.0,9016.0
sępoleński,80632.0,271895.0,15097.0
sławieński,45558.0,164318.0,5157.0
słubicki,72302.0,247803.0,12551.0
słupecki,71795.0,177972.0,12153.0
słupski,113647.0,325184.0,14997.0
tarnobrzeski,219629.0,216070.0,21622.0
tarnogórski,65724.0,206552.0,8912.0
tarnowski,112982.0,133401.0,11567.0
tatrzański,143543.0,121968.0,13335.0
tczewski,102131.0,301576.0,11619.0
tomaszowski,227556.0,332372.0,19136.0
toruński,91049.0,247118.0,13498.0
trzebnicki,127311.0,347195.0,22001.0
tucholski,80632.0,271895.0,15097.0
turecki,71795.0,177972.0,12153.0
wadowicki,91220.0,137319.0,10830.0
warszawski zachodni,145893.0,276408.0,27583.0
wałbrzyski,54271.0,165230.0,6023.0
wałecki,45558.0,164318.0,5157.0
wejherowski,113647.0,325184.0,14997.0
wielicki,112982.0,133401.0,11567.0
wieluński,109205.0,214828.0,15867.0
wieruszowski,109205.0,214828.0,15867.0
wodzisławski,75504.0,172442.0,16102.0
wolsztyński,50023.0,202689.0,7241.0
wołomiński,145893.0,276408.0,27583.0
wołowski,127311.0,347195.0,22001.0
wrocławski,127311.0,347195.0,22001.0
wrzesiński,71795.0,177972.0,12153.0
wschowski,72302.0,247803.0,12551.0
wysokomazowiecki,158572.0,249562.0,20589.0
wyszkowski,139926.0,186225.0,16153.0
wąbrzeski,91049.0,247118.0,13498.0
wągrowiecki,50023.0,202689.0,7241.0
węgorzewski,59996.0,191377.0,8659.0
węgrowski,139926.0,186225.0,16153.0
włocławski,91049.0,247118.0,13498.0
włodawski,124084.0,183696.0,10149.0
włoszczowski,138039.0,275933.0,18932.0
zambrowski,158572.0,249562.0,20589.0
zamojski,124084.0,183696.0,10149.0
zawierciański,59453.0,210775.0,10092.0
zduńskowolski,109205.0,214828.0,15867.0
zgierski,109205.0,214828.0,15867.0
zgorzelecki,95277.0,240392.0,8499.0
zielonogórski,72302.0,247803.0,12551.0
zwoleński,103798.0,145721.0,9016.0
ząbkowicki,54271.0,165230.0,6023.0
złotoryjski,95277.0,240392.0,8499.0
złotowski,50023.0,202689.0,7241.0
Łomża,158572.0,249562.0,20589.0
Łódź,90558.0,255773.0,15932.0
łaski,109205.0,214828.0,15867.0
łańcucki,219629.0,216070.0,21622.0
łobeski,82529.0,281945.0,16546.0
łomżyński,158572.0,249562.0,20589.0
łosicki,139926.0,186225.0,16153.0
łowicki,109205.0,214828.0,15867.0
łukowski,177543.0,257796.0,24816.0
łódzki wschodni,90558.0,255773.0,15932.0
łęczycki,109205.0,214828.0,15867.0
łęczyński,177543.0,257796.0,24816.0
Świnoujście,82529.0,281945.0,16546.0
Świętochłowice,98737.0,275843.0,28135.0
średzki,199106.0,525167.0,34154.0
śremski,71795.0,177972.0,12153.0
świdnicki,231814.0,423026.0,30839.0
świdwiński,45558.0,164318.0,5157.0
świebodziński,72302.0,247803.0,12551.0
świecki,80632.0,271895.0,15097.0
Żory,75504.0,172442.0,16102.0
żagański,72302.0,247803.0,12551.0
żarski,72302.0,247803.0,12551.0
żniński,80632.0,271895.0,15097.0
żuromiński,93307.0,174362.0,8841.0
żyrardowski,93307.0,174362.0,8841.0
żywiecki,98152.0,201833.0,11470.0
