jednostka,Blue,Red,Gray
Białystok,158572.0,249562.0,20589.0
Bielsko-Biała,98152.0,201833.0,11470.0
Bydgoszcz,80632.0,271895.0,15097.0
Bytom,65724.0,206552.0,8912.0
Chełm,124084.0,183696.0,10149.0
Chorzów,98737.0,275843.0,28135.0
Częstochowa,61429.0,151784.0,11284.0
Dąbrowa Górnicza,59453.0,210775.0,10092.0
Elbląg,45403.0,144524.0,5733.0
Gdańsk,102131.0,301576.0,11619.0
Gdynia,113647.0,325184.0,14997.0
Gliwice,65724.0,206552.0,8912.0
Gorzów Wielkopolski,72302.0,247803.0,12551.0
Grudziądz,91049.0,247118.0,13498.0
Jastrzębie-Zdrój,75504.0,172442.0,16102.0
Jaworzno,59453.0,210775.0,10092.0
Jelenia Góra,95277.0,240392.0,8499.0
Kalisz,82114.0,243491.0,13194.0
Katowice,98737.0,275843.0,28135.0
Kielce,138039.0,275933.0,18932.0
Konin,71795.0,177972.0,12153.0
Koszalin,45558.0,164318.0,5157.0
Kraków,156800.0,320072.0,29708.0
Krosno,133320.0,152556.0,12154.0
Legnica,95277.0,240392.0,8499.0
Leszno,82114.0,243491.0,13194.0
Lublin,177543.0,257796.0,24816.0
Mysłowice,98737.0,275843.0,28135.0
Nowy Sącz,143543.0,121968.0,13335.0
Olsztyn,59996.0,191377.0,8659.0
Opole,65739.0,215099.0,38828.0
Ostrołęka,139926.0,186225.0,16153.0
Piekary Śląskie,98737.0,275843.0,28135.0
Piotrków Trybunalski,103472.0,148676.0,8987.0
Polska,29.889802034210927,65.80042469109753,4.309773274691547
Poznań,76772.0,312828.0,10397.0
Przemyśl,133320.0,152556.0,12154.0
Płock,93307.0,174362.0,8841.0
Radom,103798.0,145721.0,9016.0
Ruda Śląska,98737.0,275843.0,28135.0
Rybnik,75504.0,172442.0,16102.0
Rzeszów,219629.0,216070.0,21622.0
Siedlce,139926.0,186225.0,16153.0
Siemianowice Śląskie,98737.0,275843.0,28135.0
Skierniewice,103472.0,148676.0,8987.0
Sopot,102131.0,301576.0,11619.0
Sosnowiec,59453.0,210775.0,10092.0
Suski,91220.0,137319.0,10830.0
Suwałki,158572.0,249562.0,20589.0
Szczecin,82529.0,281945.0,16546.0
Słupsk,113647.0,325184.0,14997.0
Tarnobrzeg,219629.0,216070.0,21622.0
Tarnów,112982.0,133401.0,11567.0
Toruń,91049.0,247118.0,13498.0
Tychy,98737.0,275843.0,28135.0
Warszawa,277577.0,704963.0,35024.0
Wrocław,127311.0,347195.0,22001.0
Włocławek,91049.0,247118.0,13498.0
Zabrze,65724.0,206552.0,8912.0
Zagranica,277577.0,704963.0,35024.0
Zamość,124084.0,183696.0,10149.0
Zielona Góra,72302.0,247803.0,12551.0
aleksandrowski,91049.0,247118.0,13498.0
augustowski,158572.0,249562.0,20589.0
bartoszycki,45403.0,144524.0,5733.0
bełchatowski,103472.0,148676.0,8987.0
bialski,124084.0,183696.0,10149.0
białobrzeski,103798.0,145721.0,9016.0
białogardzki,45558.0,164318.0,5157.0
białostocki,158572.0,249562.0,20589.0
bielski,256724.0,451395.0,32059.0
bieruńsko-lędziński,98737.0,275843.0,28135.0
bieszczadzki,133320.0,152556.0,12154.0
