,PiS,Komitet Wyborczy Polska Jest Najważniejsza,SLD,Ruch Palikota/Twój Ruch,PSL,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,PO,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Prawica,Komitet Wyborczy Wyborców Mniejszość Niemiecka
bielski,98152,6822,19881,29338,21143,1913,131471,,,2735.0,
Bielsko-Biała,98152,6822,19881,29338,21143,1913,131471,,,2735.0,
pszczyński,98152,6822,19881,29338,21143,1913,131471,,,2735.0,
żywiecki,98152,6822,19881,29338,21143,1913,131471,,,2735.0,
buski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
sandomierski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
jędrzejowski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
skarżyski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
staszowski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
włoszczowski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
konecki,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
starachowicki,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
Kielce,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
ostrowiecki,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
opatowski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
kazimierski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
pińczowski,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
kielecki,138039,6982,42096,38331,85590,2528,109916,1262.0,6754.0,1406.0,
kołobrzeski,45558,3641,24474,26582,13756,1516,99506,,,,
białogardzki,45558,3641,24474,26582,13756,1516,99506,,,,
szczecinecki,45558,3641,24474,26582,13756,1516,99506,,,,
koszaliński,45558,3641,24474,26582,13756,1516,99506,,,,
świdwiński,45558,3641,24474,26582,13756,1516,99506,,,,
choszczeński,45558,3641,24474,26582,13756,1516,99506,,,,
wałecki,45558,3641,24474,26582,13756,1516,99506,,,,
drawski,45558,3641,24474,26582,13756,1516,99506,,,,
Koszalin,45558,3641,24474,26582,13756,1516,99506,,,,
sławieński,45558,3641,24474,26582,13756,1516,99506,,,,
lubartowski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
janowski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
lubelski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
łukowski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
świdnicki,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
opolski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
Lublin,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
kraśnicki,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
rycki,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
puławski,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
łęczyński,177543,11924,29799,54139,57606,2294,116252,,8779.0,1819.0,
świebodziński,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
sulęciński,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
strzelecko-drezdenecki,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
Gorzów Wielkopolski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
zielonogórski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
gorzowski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
międzyrzecki,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
słubicki,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
wschowski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
żagański,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
żarski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
krośnieński,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
nowosolski,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
Zielona Góra,72302,5293,34300,38958,25575,1720,148970,,5538.0,,
nowodworski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
wołomiński,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
warszawski zachodni,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
grodziski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
legionowski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
piaseczyński,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
pruszkowski,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
otwocki,145893,12151,23739,38482,32064,2085,182123,,11673.0,1674.0,
poznański,76772,8387,33764,46750,11960,2010,220354,,,,
Poznań,76772,8387,33764,46750,11960,2010,220354,,,,
bialski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Zamość,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
krasnostawski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
włodawski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
radzyński,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
tomaszowski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
parczewski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Biała Podlaska,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
biłgorajski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Chełm,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
hrubieszowski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
chełmski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
zamojski,124084,6892,24513,38296,57882,1787,63005,1470.0,,,
Łódź,90558,5865,35069,39204,9750,1703,171750,590.0,7774.0,,
brzeziński,90558,5865,35069,39204,9750,1703,171750,590.0,7774.0,,
łódzki wschodni,90558,5865,35069,39204,9750,1703,171750,590.0,7774.0,,
śremski,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
koniński,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
średzki,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
turecki,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
gnieźnieński,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
Konin,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
kolski,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
wrzesiński,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
słupecki,71795,4751,34289,29236,33590,1242,80857,,5117.0,1043.0,
lubliniecki,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
kłobucki,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
myszkowski,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
częstochowski,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
Częstochowa,61429,4795,23547,30049,19688,1875,78500,,4614.0,,
krakowski,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
miechowski ,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
Kraków,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
olkuski,156800,10749,27504,45079,22574,2194,224915,,16765.0,,
będziński,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
Jaworzno,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
Dąbrowa Górnicza,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
zawierciański,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
Sosnowiec,59453,5856,36460,41504,12281,2185,120530,,,2051.0,
nowotomyski,50023,5440,29638,28633,31192,1801,113226,,,,
złotowski,50023,5440,29638,28633,31192,1801,113226,,,,
międzychodzki,50023,5440,29638,28633,31192,1801,113226,,,,
grodziski,50023,5440,29638,28633,31192,1801,113226,,,,
chodzieski,50023,5440,29638,28633,31192,1801,113226,,,,
pilski,50023,5440,29638,28633,31192,1801,113226,,,,
wągrowiecki,50023,5440,29638,28633,31192,1801,113226,,,,
obornicki,50023,5440,29638,28633,31192,1801,113226,,,,
szamotulski,50023,5440,29638,28633,31192,1801,113226,,,,
wolsztyński,50023,5440,29638,28633,31192,1801,113226,,,,
czarnkowsko-trzcianecki,50023,5440,29638,28633,31192,1801,113226,,,,
nowodworski,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
kwidzyński,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
malborski,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
Sopot,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
gdański,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
starogardzki,102131,8584,25542,37615,19313,2009,219106,1026.0,,,
