,PiS,Komitet Wyborczy Polska Jest Najważniejsza,SLD,Ruch Palikota/Twój Ruch,PSL,Komitet Wyborczy Polska Partia Pracy - Sierpień 80,PO,Komitet Wyborczy Nasz Dom Polska-Samoobrona Andrzeja Leppera,Komitet Wyborczy Nowa Prawica - Janusza Korwin-Mikke,Komitet Wyborczy Prawica,Komitet Wyborczy Wyborców Mniejszość Niemiecka
wadowicki,91220,7055,16438,21137,14074,1463,85670,,,2312.0,
chrzanowski,91220,7055,16438,21137,14074,1463,85670,,,2312.0,
Suski,91220,7055,16438,21137,14074,1463,85670,,,2312.0,
lubański,95277,6349,45825,39899,17985,2150,136683,,,,
Legnica,95277,6349,45825,39899,17985,2150,136683,,,,
złotoryjski,95277,6349,45825,39899,17985,2150,136683,,,,
głogowski,95277,6349,45825,39899,17985,2150,136683,,,,
bolesławiecki,95277,6349,45825,39899,17985,2150,136683,,,,
zgorzelecki,95277,6349,45825,39899,17985,2150,136683,,,,
legnicki,95277,6349,45825,39899,17985,2150,136683,,,,
jeleniogórski,95277,6349,45825,39899,17985,2150,136683,,,,
lwówecki,95277,6349,45825,39899,17985,2150,136683,,,,
jaworski,95277,6349,45825,39899,17985,2150,136683,,,,
lubiński,95277,6349,45825,39899,17985,2150,136683,,,,
kamiennogórski,95277,6349,45825,39899,17985,2150,136683,,,,
Jelenia Góra,95277,6349,45825,39899,17985,2150,136683,,,,
polkowicki,95277,6349,45825,39899,17985,2150,136683,,,,
Bytom,65724,6527,21932,30320,14028,2385,140272,,,,
Gliwice,65724,6527,21932,30320,14028,2385,140272,,,,
Zabrze,65724,6527,21932,30320,14028,2385,140272,,,,
tarnogórski,65724,6527,21932,30320,14028,2385,140272,,,,
gliwicki,65724,6527,21932,30320,14028,2385,140272,,,,
Chorzów,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
Katowice,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
Piekary Śląskie,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
Ruda Śląska,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
Siemianowice Śląskie,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
bieruńsko-lędziński,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
Mysłowice,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
Świętochłowice,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
Tychy,98737,15614,25704,43884,11237,3442,195018,,9079.0,,
rawski,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
Skierniewice,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
tomaszowski,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
piotrkowski,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
skierniewicki,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
radomszczański,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
bełchatowski,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
opoczyński,103472,4956,23988,23010,34789,1801,66889,,,2230.0,
