województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,276859.0,752817.0,36523.0
KUJAWSKO-POMORSKIE,171681.0,519013.0,28595.0
LUBELSKIE,301627.0,441492.0,34965.0
LUBUSKIE,72302.0,247803.0,12551.0
MAZOWIECKIE,760501.0,1487679.0,96617.0
MAŁOPOLSKIE,504545.0,712760.0,65440.0
OPOLSKIE,65739.0,215099.0,38828.0
PODKARPACKIE,352949.0,368626.0,33776.0
PODLASKIE,158572.0,249562.0,20589.0
POMORSKIE,215778.0,626760.0,26616.0
WARMIŃSKO-MAZURSKIE,105399.0,335901.0,14392.0
WIELKOPOLSKIE,280704.0,936980.0,42985.0
ZACHODNIOPOMORSKIE,128087.0,446263.0,21703.0
ŁÓDZKIE,303235.0,619277.0,40786.0
ŚLĄSKIE,458999.0,1219229.0,85995.0
ŚWIĘTOKRZYSKIE,138039.0,275933.0,18932.0
