województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,403165.0,354677,109375.0
KUJAWSKO-POMORSKIE,301227.0,199374,70123.0
LUBELSKIE,464224.0,156883,65688.0
LUBUSKIE,134531.0,109282,26711.0
MAZOWIECKIE,978071.0,627435,222722.0
MAŁOPOLSKIE,648485.0,350577,92667.0
OPOLSKIE,114005.0,92401,60418.0
PODKARPACKIE,467906.0,162311,46239.0
PODLASKIE,208603.0,95218,41665.0
POMORSKIE,314959.0,332658,69703.0
WARMIŃSKO-MAZURSKIE,196557.0,138231,37923.0
WIELKOPOLSKIE,504293.0,403986,115810.0
ZACHODNIOPOMORSKIE,230498.0,195124,57835.0
ŁÓDZKIE,448976.0,257914,97052.0
ŚLĄSKIE,656370.0,607351,170684.0
ŚWIĘTOKRZYSKIE,223617.0,101094,40058.0
