województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,499149.0,512619.0,102011.0
KUJAWSKO-POMORSKIE,341143.0,331863.0,63790.0
LUBELSKIE,552573.0,210951.0,63895.0
LUBUSKIE,145904.0,166957.0,33365.0
MAZOWIECKIE,1294629.0,990704.0,251372.0
MAŁOPOLSKIE,857057.0,435178.0,124009.0
OPOLSKIE,148923.0,135724.0,53622.0
PODKARPACKIE,584004.0,182876.0,67287.0
PODLASKIE,272200.0,128270.0,34922.0
POMORSKIE,368078.0,441121.0,84691.0
WARMIŃSKO-MAZURSKIE,220477.0,200942.0,45115.0
WIELKOPOLSKIE,581177.0,621304.0,118396.0
ZACHODNIOPOMORSKIE,248935.0,294474.0,54188.0
ŁÓDZKIE,536998.0,391981.0,85581.0
ŚLĄSKIE,889611.0,777619.0,185807.0
ŚWIĘTOKRZYSKIE,289341.0,141106.0,38276.0
