województwo,Blue,Red,Gray
DOLNOŚLĄSKIE,276859,752817.0,36523.0
KUJAWSKO-POMORSKIE,171681,519013.0,28595.0
LUBELSKIE,301627,441492.0,34965.0
LUBUSKIE,72302,247803.0,12551.0
MAZOWIECKIE,760501,1487679.0,96617.0
MAŁOPOLSKIE,504545,712760.0,65440.0
OPOLSKIE,65739,215099.0,38828.0
PODKARPACKIE,352949,368626.0,33776.0
PODLASKIE,158572,249562.0,20589.0
POMORSKIE,215778,626760.0,26616.0
WARMIŃSKO-MAZURSKIE,105399,335901.0,14392.0
WIELKOPOLSKIE,280704,936980.0,42985.0
ZACHODNIOPOMORSKIE,128087,446263.0,21703.0
ŁÓDZKIE,303235,619277.0,40786.0
ŚLĄSKIE,458999,1219229.0,85995.0
ŚWIĘTOKRZYSKIE,138039,275933.0,18932.0
