index,Blue,Red,Gray
2000_accurate,0.6430475087775079,0.11663549607730504,0.24031699514518695
2000_no_SLD,0.34705780684595905,0.21335118392788066,0.4395910092261603
2001,0.18973065311258458,0.5699523517422285,0.24031699514518698
2002,0.4078880432672677,0.4541188912762639,0.13799306545646833
2003,0.44116342707084644,0.3831915425149748,0.17564503041417898
2004,0.46860878072555123,0.37861548220166785,0.15277573707278091
2005,0.53464147699222,0.3272480039495412,0.13811051905823868
2006,0.4441665575996797,0.37103811470045883,0.18479532769986148
2007,0.3138204678965268,0.44928214113002324,0.23689739097344992
2008,0.24628511972422404,0.5211594577394999,0.232555422536276
2009,0.2391192027745306,0.48616771185181834,0.27471308537365097
2010,0.2884874387653221,0.49796841609665765,0.2135441451380202
2011,0.20630345407692866,0.5537140265963786,0.23998251932669273
2012,0.21225621556701646,0.5218139175774883,0.26592986685549524
2013,0.24477410258777735,0.43273786754953303,0.32248802986268965
2014,0.2670421599325491,0.46147902973543087,0.27147881033202004
2015,0.4333484043974841,0.40104435792812215,0.16560723767439375
2016,0.48425587992593894,0.35403230110475686,0.1617118189693041
2017,0.5278495738477339,0.3029027516148031,0.16924767453746292
2018,0.5416248034368879,0.268265121220388,0.19011007534272403
2019,0.47694001588270846,0.3143732183366185,0.2086867657806731
