index,Blue,Red,Gray
2001,0.34705780684595905,0.21335118392788066,0.4395910092261603
2002,0.6231344237484853,0.16605226425609587,0.21081331199541883
2003,0.5709087263796301,0.20178938399077737,0.22730188962959252
2004,0.46860878072555123,0.37861548220166785,0.15277573707278091
2005,0.53464147699222,0.3272480039495412,0.13811051905823868
2006,0.4441665575996797,0.37103811470045883,0.18479532769986148
2007,0.3138204678965268,0.44928214113002324,0.23689739097344992
2008,0.24628511972422404,0.5211594577394999,0.232555422536276
2009,0.2391192027745306,0.48616771185181834,0.27471308537365097
2010,0.2884874387653221,0.49796841609665765,0.2135441451380202
2011,0.20630345407692866,0.5537140265963786,0.23998251932669273
2012,0.21225621556701646,0.5218139175774883,0.26592986685549524
2013,0.24477410258777735,0.43273786754953303,0.32248802986268965
2014,0.2670421599325491,0.46147902973543087,0.27147881033202004
2015,0.4513857954849171,0.40671048411524685,0.14190372039983606
2016,0.5143144225992782,0.3774729763571349,0.10821260104358676
2017,0.5453069707899514,0.32127889487595096,0.13341413433409754
2018,0.5633837022842352,0.2842474488381429,0.15236884887762187
2019,0.5640945326992906,0.30263309150696954,0.13327237579373993
